Date/Time,Whole Building:Facility Total Electricity Demand Rate [W](TimeStep),PV1:Generator Produced DC Electricity Rate [W](TimeStep)
 01/01  00:15:00,2639.1429642537755,0.0
 01/01  00:30:00,2667.5366736789565,0.0
 01/01  00:45:00,2661.274853295128,0.0
 01/01  01:00:00,2659.7921498489422,0.0
 01/01  01:15:00,2700.1397513358934,0.0
 01/01  01:30:00,2741.8209663814227,0.0
 01/01  01:45:00,2774.643047957328,0.0
 01/01  02:00:00,2803.5386546116483,0.0
 01/01  02:15:00,2833.08490715071,0.0
 01/01  02:30:00,2868.1839034791374,0.0
 01/01  02:45:00,2892.5796262328727,0.0
 01/01  03:00:00,2908.6020677862857,0.0
 01/01  03:15:00,2927.3722452558504,0.0
 01/01  03:30:00,2945.848207358812,0.0
 01/01  03:45:00,2973.0409963443217,0.0
 01/01  04:00:00,2984.871645225386,0.0
 01/01  04:15:00,2985.4159034095755,0.0
 01/01  04:30:00,2997.6450318326574,0.0
 01/01  04:45:00,3013.7619525451137,0.0
 01/01  05:00:00,3024.617051572748,0.0
 01/01  05:15:00,3027.661729426674,0.0
 01/01  05:30:00,3031.724987274816,0.0
 01/01  05:45:00,3049.604768390934,0.0
 01/01  06:00:00,4278.727685457687,0.0
 01/01  06:15:00,6006.938111135321,0.0
 01/01  06:30:00,6738.243865573752,0.0
 01/01  06:45:00,6474.819191741489,0.0
 01/01  07:00:00,6571.390616832706,0.0
 01/01  07:15:00,4989.508673409271,0.0
 01/01  07:30:00,4962.512885118256,0.0
 01/01  07:45:00,1855.2820828584613,0.0
 01/01  08:00:00,2409.4252483869286,0.0
 01/01  08:15:00,2677.970591005219,0.0
 01/01  08:30:00,2888.25709294325,0.0
 01/01  08:45:00,2832.403611158197,0.0
 01/01  09:00:00,2899.242926725955,4.42254184312394
 01/01  09:15:00,2867.369133575763,6.636070960553505
 01/01  09:30:00,2894.490223901621,8.567455711858647
 01/01  09:45:00,2899.598776064961,13.075503313786005
 01/01  10:00:00,2892.503525766622,17.584897749164295
 01/01  10:15:00,2904.549730334473,22.079172141076906
 01/01  10:30:00,2924.013440897542,26.572022134563305
 01/01  10:45:00,2933.828655254009,30.419263304730528
 01/01  11:00:00,2938.645663134371,34.267230819398215
 01/01  11:15:00,2923.6623473703044,38.118549423951684
 01/01  11:30:00,2918.803295162019,41.96867354183648
 01/01  11:45:00,2919.806467721548,43.6694341401136
 01/01  12:00:00,2909.395488288844,45.374590602967594
 01/01  12:15:00,2962.433789944321,47.062610990357925
 01/01  12:30:00,2958.1014573762577,48.75049654799335
 01/01  12:45:00,3059.567543388445,48.080546636734844
 01/01  13:00:00,3069.8040139093914,47.41668085540876
 01/01  13:15:00,3067.866935552849,46.76075090484507
 01/01  13:30:00,3062.4679617108254,46.106143063348824
 01/01  13:45:00,3062.4986600467705,48.656059665214485
 01/01  14:00:00,3072.3750114499994,51.18205459471714
 01/01  14:15:00,3068.410406926876,53.71042962559309
 01/01  14:30:00,3059.53553759806,56.23459381013003
 01/01  14:45:00,3063.2046445279107,49.30102378205221
 01/01  15:00:00,3078.747435058726,42.317520902950484
 01/01  15:15:00,3096.4473509373897,35.248132907913785
 01/01  15:30:00,3106.929201760966,28.15317616422349
 01/01  15:45:00,3112.3698804771275,23.251821175007326
 01/01  16:00:00,3125.6079274924978,18.3470083537276
 01/01  16:15:00,3177.727271914258,13.444208743974526
 01/01  16:30:00,3166.077202600403,8.806612331771221
 01/01  16:45:00,5706.978440838168,0.0
 01/01  17:00:00,5429.468466615302,0.0
 01/01  17:15:00,5333.661912329673,0.0
 01/01  17:30:00,5354.201520442521,0.0
 01/01  17:45:00,5384.796081238614,0.0
 01/01  18:00:00,5515.341551855374,0.0
 01/01  18:15:00,8206.48883866964,0.0
 01/01  18:30:00,8160.414101765563,0.0
 01/01  18:45:00,6271.07176279135,0.0
 01/01  19:00:00,5346.499373383495,0.0
 01/01  19:15:00,7041.873579409204,0.0
 01/01  19:30:00,7111.377791594161,0.0
 01/01  19:45:00,5190.592809895863,0.0
 01/01  20:00:00,5130.612388931104,0.0
 01/01  20:15:00,5275.658899846945,0.0
 01/01  20:30:00,5256.272899678685,0.0
 01/01  20:45:00,8178.82694612886,0.0
 01/01  21:00:00,8160.310910988719,0.0
 01/01  21:15:00,6223.117713949358,0.0
 01/01  21:30:00,5278.540969952043,0.0
 01/01  21:45:00,5266.7567696137785,0.0
 01/01  22:00:00,5289.662830348524,0.0
 01/01  22:15:00,5291.36892134934,0.0
 01/01  22:30:00,4079.649182021545,0.0
 01/01  22:45:00,1948.537540018534,0.0
 01/01  23:00:00,2219.0059099134323,0.0
 01/01  23:15:00,2316.2683509544518,0.0
 01/01  23:30:00,2638.973507970199,0.0
 01/01  23:45:00,2615.839956793632,0.0
 01/01  24:00:00,2670.7237280269464,0.0
 01/02  00:15:00,3218.0595422362576,0.0
 01/02  00:30:00,2671.5938211557022,0.0
 01/02  00:45:00,2726.028668806573,0.0
 01/02  01:00:00,2718.991089888909,0.0
 01/02  01:15:00,2734.370486876024,0.0
 01/02  01:30:00,2752.719154600189,0.0
 01/02  01:45:00,2759.345440851924,0.0
 01/02  02:00:00,2752.7565494083674,0.0
