Date/Time,Whole Building:Facility Total Electricity Demand Rate [W](TimeStep),PV1:Generator Produced DC Electricity Rate [W](TimeStep)
 01/01  00:15:00,2631.020896155932,0.0
 01/01  00:30:00,2660.7727296751223,0.0
 01/01  00:45:00,2654.41046032006,0.0
 01/01  01:00:00,2653.8175490397207,0.0
 01/01  01:15:00,2693.639303765814,0.0
 01/01  01:30:00,2735.827544624889,0.0
 01/01  01:45:00,2768.326788426189,0.0
 01/01  02:00:00,2797.033246101318,0.0
 01/01  02:15:00,2827.3355960302224,0.0
 01/01  02:30:00,2860.990467426502,0.0
 01/01  02:45:00,2886.174818316535,0.0
 01/01  03:00:00,2904.544284042413,0.0
 01/01  03:15:00,2919.6661694039994,0.0
 01/01  03:30:00,2941.11605062176,0.0
 01/01  03:45:00,2964.7818658021865,0.0
 01/01  04:00:00,2979.59133408489,0.0
 01/01  04:15:00,2980.524959750692,0.0
 01/01  04:30:00,2989.185959129113,0.0
 01/01  04:45:00,3009.9231510319514,0.0
 01/01  05:00:00,3018.106045483702,0.0
 01/01  05:15:00,3021.8006061165506,0.0
 01/01  05:30:00,3027.146500118887,0.0
 01/01  05:45:00,3042.471584869026,0.0
 01/01  06:00:00,4273.91487009575,0.0
 01/01  06:15:00,6004.007986376956,0.0
 01/01  06:30:00,6736.668662176858,0.0
 01/01  06:45:00,6473.139721557702,0.0
 01/01  07:00:00,6570.111689853373,0.0
 01/01  07:15:00,4986.849563366269,0.0
 01/01  07:30:00,4960.056495432706,0.0
 01/01  07:45:00,1848.8016556950147,0.0
 01/01  08:00:00,2405.030219660869,0.0
 01/01  08:15:00,2671.4291285303234,0.0
 01/01  08:30:00,2883.0266029019303,0.0
 01/01  08:45:00,2826.942180231684,0.0
 01/01  09:00:00,2893.4443975410863,4.42254184312394
 01/01  09:15:00,2862.5644398463046,6.636070960553505
 01/01  09:30:00,2888.5160002132548,8.567455711858647
 01/01  09:45:00,2894.802909100194,13.075503313786005
 01/01  10:00:00,2886.3859652298133,17.584897749164295
 01/01  10:15:00,2899.930483873649,22.079172141076906
 01/01  10:30:00,2917.451953768464,26.572022134563305
 01/01  10:45:00,2929.207953368202,30.419263304730528
 01/01  11:00:00,2933.2136742430266,34.267230819398215
 01/01  11:15:00,2918.169773638026,38.118549423951684
 01/01  11:30:00,2913.5009508232743,41.96867354183648
 01/01  11:45:00,2914.281150842526,43.6694341401136
 01/01  12:00:00,2904.041062261489,45.374590602967594
 01/01  12:15:00,2958.351673821394,47.062610990357925
 01/01  12:30:00,2952.5410556870947,48.75049654799335
 01/01  12:45:00,3054.6510671451088,48.080546636734844
 01/01  13:00:00,3064.2973619754957,47.41668085540876
 01/01  13:15:00,3063.227657486696,46.76075090484507
 01/01  13:30:00,3056.75580335546,46.106143063348824
 01/01  13:45:00,3057.4368623907126,48.656059665214485
 01/01  14:00:00,3065.321375820912,51.18205459471714
 01/01  14:15:00,3061.602299491341,53.71042962559309
 01/01  14:30:00,3050.4600524423117,56.23459381013003
 01/01  14:45:00,3054.701340906617,49.30102378205221
 01/01  15:00:00,3070.479829541364,42.317520902950484
 01/01  15:15:00,3089.429256657705,35.248132907913785
