Date/Time,Whole Building:Facility Total Electricity Demand Rate [W](TimeStep),PV1:Generator Produced DC Electricity Rate [W](TimeStep)
 01/01  00:15:00,2814.476221975805,0.0
 01/01  00:30:00,2844.9968352967635,0.0
 01/01  00:45:00,2836.092649013798,0.0
 01/01  01:00:00,2831.6274077541525,0.0
 01/01  01:15:00,2870.9575055509827,0.0
 01/01  01:30:00,2908.205594924033,0.0
 01/01  01:45:00,2941.7075097498496,0.0
 01/01  02:00:00,2968.443522555341,0.0
 01/01  02:15:00,2992.056503926399,0.0
 01/01  02:30:00,3027.704403386473,0.0
 01/01  02:45:00,3049.275767043171,0.0
 01/01  03:00:00,3066.643215862609,0.0
 01/01  03:15:00,3078.4412964023445,0.0
 01/01  03:30:00,3099.0810845905617,0.0
 01/01  03:45:00,3121.16587540672,0.0
 01/01  04:00:00,3133.8465077767723,0.0
 01/01  04:15:00,3133.8797934171994,0.0
 01/01  04:30:00,3140.2637523384224,0.0
 01/01  04:45:00,3159.2995290687786,0.0
 01/01  05:00:00,3167.1804534652747,0.0
 01/01  05:15:00,3167.4991124635512,0.0
 01/01  05:30:00,3173.70525237582,0.0
 01/01  05:45:00,3186.605570238792,0.0
 01/01  06:00:00,3201.1259946083887,0.0
 01/01  06:15:00,3201.230186291491,0.0
 01/01  06:30:00,3244.961672857885,0.0
 01/01  06:45:00,3177.4464205841505,0.0
 01/01  07:00:00,3175.8495747638262,0.0
 01/01  07:15:00,3151.930441524155,0.0
 01/01  07:30:00,3152.6417963644267,0.0
 01/01  07:45:00,3141.38422209592,0.0
 01/01  08:00:00,3142.930949468516,0.0
 01/01  08:15:00,3157.634684235634,0.0
 01/01  08:30:00,3168.2036103272194,0.0
 01/01  08:45:00,4948.912858849301,0.0
 01/01  09:00:00,5586.980203347401,4.045981382567159
 01/01  09:15:00,3843.36339479502,6.071174614271154
 01/01  09:30:00,4118.996145263088,7.796209069794886
 01/01  09:45:00,4074.576679645088,11.90480047227229
 01/01  10:00:00,5337.542803018414,16.017192648240552
 01/01  10:15:00,3903.6162723078896,20.11778990109727
 01/01  10:30:00,4015.675029289349,24.219126293456483
 01/01  10:45:00,4010.159951204457,27.732052353642747
 01/01  11:00:00,4108.40361544911,31.247135418552883
 01/01  11:15:00,7970.43819057579,34.76793849267274
 01/01  11:30:00,7646.142330539758,38.28978240015828
 01/01  11:45:00,4649.250184776247,39.84588684909294
 01/01  12:00:00,4101.101950005563,41.40724956502072
