Date/Time,Whole Building:Facility Total Electricity Demand Rate [W](TimeStep),PV1:Generator Produced DC Electricity Rate [W](TimeStep)
 01/01  00:15:00,2811.5281508871085,0.0
 01/01  00:30:00,2844.212470955518,0.0
 01/01  00:45:00,2835.7143526196887,0.0
 01/01  01:00:00,2831.2056098905423,0.0
 01/01  01:15:00,2869.9862178044154,0.0
 01/01  01:30:00,2907.382170954254,0.0
 01/01  01:45:00,2939.500880686629,0.0
 01/01  02:00:00,2968.1506937818176,0.0
 01/01  02:15:00,2990.329477585866,0.0
 01/01  02:30:00,3027.258258698991,0.0
 01/01  02:45:00,3050.207492941336,0.0
 01/01  03:00:00,3065.4097052613315,0.0
 01/01  03:15:00,3078.8888943698057,0.0
 01/01  03:30:00,3099.01193302179,0.0
 01/01  03:45:00,3121.590097814809,0.0
 01/01  04:00:00,3133.036569846065,0.0
 01/01  04:15:00,3134.318082719418,0.0
 01/01  04:30:00,3141.656878866745,0.0
 01/01  04:45:00,3158.334107858156,0.0
 01/01  05:00:00,3167.746568359809,0.0
 01/01  05:15:00,3167.208333463433,0.0
 01/01  05:30:00,3173.59030309888,0.0
 01/01  05:45:00,3185.927381288282,0.0
 01/01  06:00:00,3201.0286626348693,0.0
 01/01  06:15:00,3200.08423916694,0.0
 01/01  06:30:00,3246.9379532365606,0.0
 01/01  06:45:00,3176.975419153488,0.0
 01/01  07:00:00,3175.6089988637223,0.0
 01/01  07:15:00,3152.48018612256,0.0
 01/01  07:30:00,3151.1018431360776,0.0
 01/01  07:45:00,3142.360177569456,0.0
 01/01  08:00:00,3143.078050394268,0.0
 01/01  08:15:00,3158.507045247429,0.0
 01/01  08:30:00,3167.0771805677477,0.0
 01/01  08:45:00,4949.375121182077,0.0
 01/01  09:00:00,5588.547181779156,4.42254184312394
 01/01  09:15:00,3844.706085533327,6.636070960553505
 01/01  09:30:00,4121.223272579292,8.567455711858647
 01/01  09:45:00,4076.1536813355247,13.075503313786005
 01/01  10:00:00,5337.084476612789,17.584897749164295
 01/01  10:15:00,3902.6126579381807,22.079172141076906
 01/01  10:30:00,4013.685211661754,26.572022134563305
 01/01  10:45:00,4008.2295732867688,30.419263304730528
 01/01  11:00:00,4107.270851732213,34.267230819398215
 01/01  11:15:00,7970.421851155241,38.118549423951684
 01/01  11:30:00,7646.327886217438,41.96867354183648
 01/01  11:45:00,4647.773044771678,43.6694341401136
 01/01  12:00:00,4101.270252699698,45.374590602967594
 01/01  12:15:00,2305.0168008977803,47.062610990357925
 01/01  12:30:00,2858.1258953319857,48.75049654799335
 01/01  12:45:00,2853.013376376642,48.080546636734844
 01/01  13:00:00,2939.2442458304727,47.41668085540876
 01/01  13:15:00,3122.30403332126,46.760750904845075
 01/01  13:30:00,3129.06567243087,46.106143063348824
 01/01  13:45:00,3132.1508039691503,48.605469977395614
 01/01  14:00:00,3145.623594607714,50.884916878731616
 01/01  14:15:00,3144.8594085985847,52.95012105425968
 01/01  14:30:00,3136.633019670993,54.664345385818365
 01/01  14:45:00,3143.263797112916,48.15733633376632
 01/01  15:00:00,3158.155619404143,41.63111393027733
 01/01  15:15:00,3173.5608743773846,35.0169527401081
 01/01  15:30:00,3185.5427944518365,28.153376407636543
 01/01  15:45:00,3187.686458342753,23.25182212985309
 01/01  16:00:00,3202.7791496115283,18.347008358078632
 01/01  16:15:00,4676.896405396796,13.44420874399811
 01/01  16:30:00,4343.012593330297,8.806612331771369
 01/01  16:45:00,4149.555009596519,0.0
 01/01  17:00:00,4329.320102997371,0.0
 01/01  17:15:00,8163.396454207056,0.0
 01/01  17:30:00,8142.178991675282,0.0
 01/01  17:45:00,5987.794013582147,0.0
 01/01  18:00:00,4447.667990194313,0.0
 01/01  18:15:00,4232.394664199682,0.0
 01/01  18:30:00,5576.793916600826,0.0
 01/01  18:45:00,7273.185555119212,0.0
 01/01  19:00:00,7224.688867819001,0.0
 01/01  19:15:00,5952.17769975577,0.0
 01/01  19:30:00,5371.015331651942,0.0
 01/01  19:45:00,3920.255213755522,0.0
 01/01  20:00:00,3986.9948923364273,0.0
 01/01  20:15:00,4014.608055849472,0.0
 01/01  20:30:00,4101.332566046635,0.0
 01/01  20:45:00,4180.324502809624,0.0
 01/01  21:00:00,4173.6200037676135,0.0
 01/01  21:15:00,4185.492857980911,0.0
 01/01  21:30:00,4177.555108035052,0.0
 01/01  21:45:00,4182.41292692397,0.0
 01/01  22:00:00,4196.240611637564,0.0
 01/01  22:15:00,4194.731290197731,0.0
 01/01  22:30:00,4184.797207785022,0.0
 01/01  22:45:00,4179.453394686557,0.0
 01/01  23:00:00,4182.657753991646,0.0
 01/01  23:15:00,2171.7225312978712,0.0
 01/01  23:30:00,2624.8959044062394,0.0
 01/01  23:45:00,2713.0292688876348,0.0
 01/01  24:00:00,2818.838218755168,0.0
 01/02  00:15:00,3365.3525461324352,0.0
 01/02  00:30:00,2839.953322050756,0.0
 01/02  00:45:00,2963.6989870655107,0.0
 01/02  01:00:00,2886.95727180137,0.0
 01/02  01:15:00,2909.224293258818,0.0
 01/02  01:30:00,2920.505283039563,0.0
 01/02  01:45:00,2924.7798609211613,0.0
 01/02  02:00:00,2916.8032597040065,0.0
 01/02  02:15:00,2923.131113641584,0.0
 01/02  02:30:00,2935.7302887940014,0.0
 01/02  02:45:00,2940.528230781249,0.0
 01/02  03:00:00,2933.8806977379486,0.0
 01/02  03:15:00,2936.033174648365,0.0
 01/02  03:30:00,2942.4006122145893,0.0
 01/02  03:45:00,2950.671810488848,0.0
 01/02  04:00:00,2951.093911800356,0.0
 01/02  04:15:00,2936.6579237123183,0.0
 01/02  04:30:00,2932.938086571288,0.0
 01/02  04:45:00,2935.4034975851373,0.0
 01/02  05:00:00,2928.995829024255,0.0
 01/02  05:15:00,2920.1850574173213,0.0
 01/02  05:30:00,2909.557761809224,0.0
 01/02  05:45:00,2910.5679265752497,0.0
 01/02  06:00:00,2912.0455367178565,0.0
 01/02  06:15:00,2911.434743022153,0.0
 01/02  06:30:00,2960.272713146123,0.0
