Date/Time,Whole Building:Facility Total Electricity Demand Rate [W](TimeStep),PV1:Generator Produced DC Electricity Rate [W](TimeStep)
 01/01  00:15:00,1022.1482793742658,0.0
 01/01  00:30:00,1079.3342927349647,0.0
 01/01  00:45:00,1077.421187436153,0.0
 01/01  01:00:00,1103.8406204365228,0.0
 01/01  01:15:00,1143.3685173651763,0.0
 01/01  01:30:00,1178.8737156379586,0.0
 01/01  01:45:00,1175.4265593690584,0.0
 01/01  02:00:00,1147.226978657403,0.0
 01/01  02:15:00,1169.7729285934922,0.0
 01/01  02:30:00,1206.6356389949503,0.0
 01/01  02:45:00,1212.5368610498613,0.0
 01/01  03:00:00,1183.8747756449868,0.0
 01/01  03:15:00,1203.1618810532257,0.0
 01/01  03:30:00,1212.4814551365826,0.0
 01/01  03:45:00,1227.8024215161906,0.0
 01/01  04:00:00,1223.070118613836,0.0
 01/01  04:15:00,1226.2208929775356,0.0
 01/01  04:30:00,1238.439275961237,0.0
 01/01  04:45:00,1250.8352276208818,0.0
 01/01  05:00:00,1259.0470974307946,0.0
 01/01  05:15:00,1267.9054294571092,0.0
 01/01  05:30:00,1278.51451012987,0.0
 01/01  05:45:00,1292.7701407381276,0.0
 01/01  06:00:00,2720.427371652887,0.0
 01/01  06:15:00,4369.231068137986,0.0
 01/01  06:30:00,6147.063392312251,0.0
 01/01  06:45:00,5984.845735808537,0.0
 01/01  07:00:00,6184.056877380497,0.0
 01/01  07:15:00,4426.470795871926,0.0
 01/01  07:30:00,4438.130556624103,0.0
 01/01  07:45:00,737.8762007064978,0.0
 01/01  08:00:00,794.132170520433,0.0
 01/01  08:15:00,977.5239529566514,0.0
 01/01  08:30:00,1336.6562265582334,0.0
 01/01  08:45:00,1441.5808069470731,0.0
 01/01  09:00:00,1410.622794742484,8.665671866274838
 01/01  09:15:00,1424.2866433673378,12.995929806041696
 01/01  09:30:00,1466.4954165590177,16.68988563061068
 01/01  09:45:00,1468.826265145506,22.626037563124314
 01/01  10:00:00,1431.2346130711355,28.521845541920865
