Date/Time,Whole Building:Facility Total Electricity Demand Rate [W](TimeStep),PV1:Generator Produced DC Electricity Rate [W](TimeStep)
 01/01  00:15:00,2224.692169992089,0.0
 01/01  00:30:00,2252.350845748985,0.0
 01/01  00:45:00,2225.770256624655,0.0
 01/01  01:00:00,2205.408257866238,0.0
 01/01  01:15:00,2213.2646971099525,0.0
 01/01  01:30:00,2221.239272253717,0.0
 01/01  01:45:00,2223.1985854511536,0.0
 01/01  02:00:00,2218.945423802574,0.0
 01/01  02:15:00,2228.715250049749,0.0
 01/01  02:30:00,2248.085128848563,0.0
 01/01  02:45:00,2253.907259684446,0.0
 01/01  03:00:00,2256.003683688635,0.0
 01/01  03:15:00,2261.850017104038,0.0
 01/01  03:30:00,2276.379193641336,0.0
 01/01  03:45:00,2291.0614501528507,0.0
 01/01  04:00:00,2296.8210163461176,0.0
 01/01  04:15:00,2297.463963946579,0.0
 01/01  04:30:00,2307.034431810456,0.0
 01/01  04:45:00,2324.6568615435244,0.0
 01/01  05:00:00,2332.2529670743475,0.0
 01/01  05:15:00,2338.6201190683214,0.0
 01/01  05:30:00,2349.6661362992545,0.0
 01/01  05:45:00,2365.900907232993,0.0
 01/01  06:00:00,2386.0761532899965,0.0
 01/01  06:15:00,2397.289978352392,0.0
 01/01  06:30:00,2458.074006113574,0.0
 01/01  06:45:00,2402.0917859609003,0.0
 01/01  07:00:00,2421.531799517808,0.0
 01/01  07:15:00,2407.2477934337203,0.0
 01/01  07:30:00,2410.6946835210942,0.0
 01/01  07:45:00,2408.328023671369,0.0
 01/01  08:00:00,2416.3945825981823,0.0
 01/01  08:15:00,2435.3435318358343,0.0
 01/01  08:30:00,2446.5920134375424,0.0
 01/01  08:45:00,4411.82765312747,0.0
 01/01  09:00:00,5133.865733319594,14.701101378909556
 01/01  09:15:00,3257.2145796085083,21.701577486872534
 01/01  09:30:00,3449.071038809528,31.24006956445686
 01/01  09:45:00,3461.4056372627547,46.9285277383796
 01/01  10:00:00,5010.267173971525,61.40173485352388
 01/01  10:15:00,3466.217204503398,72.77437886779471
 01/01  10:30:00,3514.469674854628,83.89202650494514
 01/01  10:45:00,3517.825309425764,91.55177019533227
 01/01  11:00:00,3506.931853879212,98.76816733057944
 01/01  11:15:00,7959.449295836577,105.82377104603366
 01/01  11:30:00,7924.352862812867,113.91720221756187
 01/01  11:45:00,4945.182172954703,118.6181159619212
 01/01  12:00:00,3642.6745019388895,123.81967927330004
 01/01  12:15:00,1465.9827366563536,128.8988585501974
 01/01  12:30:00,1950.0176165816524,133.72160229150154
 01/01  12:45:00,2023.6399724427429,130.82979310943264
 01/01  13:00:00,2141.4023524130007,127.56009179631288
 01/01  13:15:00,2298.0465347761638,122.23764576337231
 01/01  13:30:00,2310.5171896256884,118.62486965652329
 01/01  13:45:00,2312.6278591336422,109.57718766301547
 01/01  14:00:00,2324.358545516213,99.15145816840588
 01/01  14:15:00,2329.30849087913,90.85946466671042
 01/01  14:30:00,2329.561124023829,82.71411313298259
 01/01  14:45:00,2338.876256790411,71.19801598077298
 01/01  15:00:00,2360.9867907662406,59.38630149061594
 01/01  15:15:00,2383.2650588360784,45.91217224572244
 01/01  15:30:00,2398.550038038006,33.24891762996351
 01/01  15:45:00,2408.4652835384786,25.66251831091003
 01/01  16:00:00,2426.742193591341,18.23458114467228
 01/01  16:15:00,4359.19916949473,10.805763077887924
 01/01  16:30:00,3996.581668858382,3.501245973505992
 01/01  16:45:00,3631.141124698253,0.0
 01/01  17:00:00,3821.629770067184,0.0
 01/01  17:15:00,8151.826506448204,0.0
 01/01  17:30:00,8132.510872461935,0.0
 01/01  17:45:00,5083.247796284542,0.0
 01/01  18:00:00,3965.153783686503,0.0
 01/01  18:15:00,3713.1373185827074,0.0
 01/01  18:30:00,5246.208381714528,0.0
 01/01  18:45:00,6952.369349099935,0.0
 01/01  19:00:00,6905.936350299536,0.0
 01/01  19:15:00,5633.493443436747,0.0
 01/01  19:30:00,5054.682000479937,0.0
 01/01  19:45:00,3589.913662848003,0.0
 01/01  20:00:00,3658.774957934405,0.0
 01/01  20:15:00,3682.198348313033,0.0
 01/01  20:30:00,3664.550943474451,0.0
 01/01  20:45:00,3743.7391552139775,0.0
 01/01  21:00:00,3719.3374915393615,0.0
 01/01  21:15:00,3708.0052289740656,0.0
 01/01  21:30:00,3710.903867591284,0.0
 01/01  21:45:00,3724.3807456587137,0.0
 01/01  22:00:00,3739.510633352584,0.0
 01/01  22:15:00,3750.365450880151,0.0
 01/01  22:30:00,3752.9835357583393,0.0
 01/01  22:45:00,3762.172515088796,0.0
 01/01  23:00:00,3780.389150162571,0.0
 01/01  23:15:00,1588.2556369335816,0.0
 01/01  23:30:00,1909.235753378034,0.0
 01/01  23:45:00,2108.5410063538616,0.0
 01/01  24:00:00,2301.8794381366183,0.0
 01/02  00:15:00,2890.926843649414,0.0
 01/02  00:30:00,2259.092788578946,0.0
 01/02  00:45:00,2406.5683971918047,0.0
 01/02  01:00:00,2333.4847244432126,0.0
 01/02  01:15:00,2359.2448828500937,0.0
 01/02  01:30:00,2381.317196567318,0.0
 01/02  01:45:00,2385.796649609148,0.0
 01/02  02:00:00,2383.623238964988,0.0
 01/02  02:15:00,2396.168642502577,0.0
 01/02  02:30:00,2416.363356212269,0.0
 01/02  02:45:00,2426.9707302783486,0.0
 01/02  03:00:00,2429.793958445396,0.0
 01/02  03:15:00,2434.574068140452,0.0
 01/02  03:30:00,2446.608859947464,0.0
 01/02  03:45:00,2459.868556638211,0.0
 01/02  04:00:00,2462.359090969038,0.0
 01/02  04:15:00,2461.984746913273,0.0
 01/02  04:30:00,2469.349407551209,0.0
 01/02  04:45:00,2486.4618875228525,0.0
 01/02  05:00:00,2492.5829933769564,0.0
 01/02  05:15:00,2494.943702951475,0.0
 01/02  05:30:00,2500.4134394986686,0.0
 01/02  05:45:00,2513.094287529176,0.0
 01/02  06:00:00,2527.408713537012,0.0
 01/02  06:15:00,2539.396068391303,0.0
 01/02  06:30:00,2599.188403868878,0.0
 01/02  06:45:00,2542.475612155068,0.0
 01/02  07:00:00,2561.504024397999,0.0
 01/02  07:15:00,2539.6164797160227,0.0
 01/02  07:30:00,2539.389518073185,0.0
 01/02  07:45:00,2529.679639037582,0.0
 01/02  08:00:00,2532.14450300635,0.0
 01/02  08:15:00,2548.0828385787136,0.0
 01/02  08:30:00,2558.5892830461376,0.0
 01/02  08:45:00,4493.119955627941,0.0
 01/02  09:00:00,5199.675424607788,3.9411404942938564
 01/02  09:15:00,3349.939064492308,5.910883453773785
 01/02  09:30:00,3548.4908149777484,7.626873010226847
 01/02  09:45:00,3571.058730150716,9.745708258419217
 01/02  10:00:00,5073.877124820618,11.865226988418357
 01/02  10:15:00,3553.05022743659,13.985731973754879
 01/02  10:30:00,3601.9222740245173,16.10702095219772
 01/02  10:45:00,3604.401066791474,19.71676766598729
 01/02  11:00:00,3696.9833154113926,23.327633336064324
 01/02  11:15:00,7962.780152855962,26.940359454044103
 01/02  11:30:00,7165.18136595026,30.554386893804487
 01/02  11:45:00,4202.251390566236,31.189712447577836
 01/02  12:00:00,3750.7211554819614,31.826610734608735
 01/02  12:15:00,1714.035350700972,32.47169110333518
 01/02  12:30:00,2275.872717740278,33.11730664726415
 01/02  12:45:00,2351.088247585098,29.5060657108901
 01/02  13:00:00,2466.0514968969687,25.896638748645934
 01/02  13:15:00,2647.307741150077,22.270002770984306
 01/02  13:30:00,2663.4016355099748,18.64896961083961
 01/02  13:45:00,2668.966374053005,16.72997374977051
 01/02  14:00:00,2684.496649044931,14.813075758968978
 01/02  14:15:00,2689.236743355056,12.90405469693871
 01/02  14:30:00,2689.232749603916,10.996071864311043
 01/02  14:45:00,2692.3432034395923,11.205783132665267
 01/02  15:00:00,2704.810708146001,11.415355391680137
 01/02  15:15:00,2711.508064526324,11.62531704760841
 01/02  15:30:00,2712.5782678745104,11.836079374547616
 01/02  15:45:00,2708.7297575149646,9.506726970575267
 01/02  16:00:00,2716.991609651732,7.179423527021517
 01/02  16:15:00,4451.776573121324,4.8559490575536834
 01/02  16:30:00,4104.349975630761,2.532550059623869
 01/02  16:45:00,3767.32637858424,0.0
 01/02  17:00:00,4015.332042101517,0.0
 01/02  17:15:00,8155.480125783836,0.0
 01/02  17:30:00,8135.635994647933,0.0
 01/02  17:45:00,5376.07849117769,0.0
 01/02  18:00:00,4076.2677421651424,0.0
 01/02  18:15:00,3881.414365050526,0.0
 01/02  18:30:00,5333.758066465751,0.0
 01/02  18:45:00,7025.527727317979,0.0
 01/02  19:00:00,6971.108811292655,0.0
 01/02  19:15:00,5697.220925374313,0.0
 01/02  19:30:00,5118.173882693443,0.0
 01/02  19:45:00,3655.318873513888,0.0
 01/02  20:00:00,3725.313073794916,0.0
 01/02  20:15:00,3747.6032225795193,0.0
 01/02  20:30:00,3769.063182092761,0.0
 01/02  20:45:00,3860.055077343572,0.0
 01/02  21:00:00,3786.9210870671022,0.0
 01/02  21:15:00,3808.781963102604,0.0
 01/02  21:30:00,3804.737082843335,0.0
 01/02  21:45:00,3810.967710788219,0.0
 01/02  22:00:00,3826.699672087434,0.0
 01/02  22:15:00,3835.8380578242713,0.0
 01/02  22:30:00,3840.530769346028,0.0
 01/02  22:45:00,3850.489959135129,0.0
 01/02  23:00:00,3869.79710992542,0.0
 01/02  23:15:00,1715.1376503492318,0.0
 01/02  23:30:00,2053.1978542980733,0.0
 01/02  23:45:00,2247.044995484493,0.0
 01/02  24:00:00,2421.1060132712173,0.0
 01/03  00:15:00,2442.286275238537,0.0
 01/03  00:30:00,2472.7870541577345,0.0
 01/03  00:45:00,2479.7234004314764,0.0
 01/03  01:00:00,2489.149807264169,0.0
 01/03  01:15:00,2507.088612915163,0.0
 01/03  01:30:00,2523.9791611386545,0.0
 01/03  01:45:00,2531.1554946518427,0.0
 01/03  02:00:00,2533.827424186572,0.0
 01/03  02:15:00,2544.722558522154,0.0
 01/03  02:30:00,2656.132018202652,0.0
 01/03  02:45:00,2567.998109305401,0.0
 01/03  03:00:00,2666.897646645704,0.0
 01/03  03:15:00,2572.287812169492,0.0
 01/03  03:30:00,2674.1771048714813,0.0
 01/03  03:45:00,2585.261354782649,0.0
 01/03  04:00:00,2680.7536030880124,0.0
 01/03  04:15:00,2664.570164564056,0.0
 01/03  04:30:00,2576.3215309850534,0.0
 01/03  04:45:00,2681.385728604793,0.0
 01/03  05:00:00,2674.104781923621,0.0
 01/03  05:15:00,2582.5811247384104,0.0
 01/03  05:30:00,2679.6842588219192,0.0
 01/03  05:45:00,2594.5641244473463,0.0
 01/03  06:00:00,2701.6784053001875,0.0
 01/03  06:15:00,2610.0865935899305,0.0
 01/03  06:30:00,2755.560738899881,0.0
 01/03  06:45:00,2597.0279015527053,0.0
 01/03  07:00:00,2700.9291879937377,0.0
 01/03  07:15:00,2582.73581823157,0.0
 01/03  07:30:00,2587.545422862669,0.0
 01/03  07:45:00,2665.62936261461,0.0
 01/03  08:00:00,2569.29588058071,0.0
 01/03  08:15:00,2595.7578880078613,0.0
 01/03  08:30:00,2606.5177283084604,0.0
 01/03  08:45:00,4530.235651083253,0.0
 01/03  09:00:00,5228.109590959188,2.622968290070571
 01/03  09:15:00,3384.066677756755,3.9349750564458823
 01/03  09:30:00,3577.1492976704326,5.0695279226712815
 01/03  09:45:00,3595.4970504039884,6.969126038314598
 01/03  10:00:00,5086.155889659602,8.86746699407304
 01/03  10:15:00,3565.6828963430444,10.767418015267083
 01/03  10:30:00,3609.661701782701,12.667090690027912
 01/03  10:45:00,3607.979147832404,13.932023968426487
 01/03  11:00:00,3700.109260018176,15.197036167315233
 01/03  11:15:00,7962.776396984703,16.460550478111724
 01/03  11:30:00,7161.674091736211,17.72351365851292
 01/03  11:45:00,4199.385995905948,19.619649652789697
 01/03  12:00:00,3743.398305982973,21.514412505134793
 01/03  12:15:00,1681.9287741336884,23.40387246083307
 01/03  12:30:00,2218.259031359857,25.291452627499936
 01/03  12:45:00,2282.673972987293,23.37955843390415
 01/03  13:00:00,2390.960780986291,21.473105340342038
 01/03  13:15:00,2569.837341924035,19.568785724780383
 01/03  13:30:00,2586.47164208365,17.66602588757162
 01/03  13:45:00,2594.352928726385,17.86939922255696
 01/03  14:00:00,2608.9401439338685,18.07112863707425
 01/03  14:15:00,2604.504830595177,18.26418162966132
 01/03  14:30:00,2593.7391748262044,18.45706146215811
 01/03  14:45:00,2588.856343697751,18.020300125261922
 01/03  15:00:00,2592.5509623544717,17.58520577289531
 01/03  15:15:00,2589.0930613738105,17.15394944407896
 01/03  15:30:00,2580.7218503382605,16.724687901087812
 01/03  15:45:00,2567.6224191785423,13.15589473980864
 01/03  16:00:00,2565.5412487241547,9.595206665139797
 01/03  16:15:00,4405.263327776242,6.044441851467849
 01/03  16:30:00,4044.17672232174,2.4980620474541757
 01/03  16:45:00,3674.676311542247,0.0
 01/03  17:00:00,3904.746625090217,0.0
 01/03  17:15:00,8153.23733574656,0.0
 01/03  17:30:00,8133.896704913814,0.0
 01/03  17:45:00,5185.546317255779,0.0
 01/03  18:00:00,3988.208669721164,0.0
 01/03  18:15:00,3737.568788659437,0.0
 01/03  18:30:00,5254.69468011802,0.0
 01/03  18:45:00,6954.014128919442,0.0
 01/03  19:00:00,6901.751150585818,0.0
 01/03  19:15:00,5625.694074343886,0.0
 01/03  19:30:00,5043.7226938805525,0.0
 01/03  19:45:00,3573.0784520750685,0.0
 01/03  20:00:00,3639.3243995890334,0.0
 01/03  20:15:00,3660.4361546449495,0.0
 01/03  20:30:00,3640.1178240949366,0.0
 01/03  20:45:00,3691.853596607552,0.0
 01/03  21:00:00,3686.442385196624,0.0
 01/03  21:15:00,3675.143919844431,0.0
 01/03  21:30:00,3640.297310202892,0.0
 01/03  21:45:00,3669.316736954551,0.0
 01/03  22:00:00,3672.635834853299,0.0
 01/03  22:15:00,3670.7389408270064,0.0
 01/03  22:30:00,3663.51547874856,0.0
 01/03  22:45:00,3659.30828933722,0.0
 01/03  23:00:00,3664.2985795949617,0.0
 01/03  23:15:00,1383.2076306097954,0.0
 01/03  23:30:00,1592.990655941593,0.0
 01/03  23:45:00,1766.730136565057,0.0
 01/03  24:00:00,2027.5166908311785,0.0
 01/04  00:15:00,3570.2021243499685,0.0
 01/04  00:30:00,2737.081969534228,0.0
 01/04  00:45:00,3035.8175836328355,0.0
 01/04  01:00:00,1767.8203612171508,0.0
 01/04  01:15:00,1874.3056708374893,0.0
 01/04  01:30:00,1910.5637981542595,0.0
 01/04  01:45:00,2014.620251850745,0.0
 01/04  02:00:00,1993.2371806481328,0.0
 01/04  02:15:00,2013.032238296832,0.0
 01/04  02:30:00,2028.0911597603276,0.0
 01/04  02:45:00,2031.7614006848603,0.0
 01/04  03:00:00,2027.5225195773105,0.0
 01/04  03:15:00,2025.5828949424117,0.0
 01/04  03:30:00,2031.0188436583448,0.0
 01/04  03:45:00,2034.5427474199653,0.0
 01/04  04:00:00,2030.026589078551,0.0
 01/04  04:15:00,2021.4191078733572,0.0
 01/04  04:30:00,2022.578042620848,0.0
 01/04  04:45:00,2031.185012184712,0.0
 01/04  05:00:00,2030.0000273547028,0.0
 01/04  05:15:00,2021.9914229972164,0.0
 01/04  05:30:00,2018.5261075777505,0.0
 01/04  05:45:00,2021.431332418815,0.0
