Date/Time,Whole Building:Facility Total Electricity Demand Rate [W](TimeStep),PV1:Generator Produced DC Electricity Rate [W](TimeStep)
 01/01  00:15:00,90.98,0.0
 01/01  00:30:00,143.4208893234097,0.0
 01/01  00:45:00,109.6732238318899,0.0
 01/01  01:00:00,97.39159052783614,0.0
 01/01  01:15:00,66.44666666666666,0.0
 01/01  01:30:00,143.41207274353775,0.0
 01/01  01:45:00,134.2015138128436,0.0
 01/01  02:00:00,44.97999999999999,0.0
 01/01  02:15:00,97.42082004679108,0.0
 01/01  02:30:00,140.34251042298916,0.0
 01/01  02:45:00,143.3972925669807,0.0
 01/01  03:00:00,60.313333333333325,0.0
 01/01  03:15:00,97.41532997457956,0.0
 01/01  03:30:00,115.8038270145903,0.0
 01/01  03:45:00,143.39213018522776,0.0
 01/01  04:00:00,84.84666666666666,0.0
 01/01  04:15:00,97.41139857346349,0.0
 01/01  04:30:00,97.40081975208716,0.0
 01/01  04:45:00,137.2568316361885,0.0
 01/01  05:00:00,90.98,0.0
 01/01  05:15:00,115.81256899769429,0.0
 01/01  05:30:00,97.4039618300583,0.0
 01/01  05:45:00,60.313333333333325,0.0
 01/01  06:00:00,143.42901427679624,0.0
 01/01  06:15:00,159.0202802776116,0.0
 01/01  06:30:00,377.41156819699216,0.0
 01/01  06:45:00,143.40288287369094,0.0
 01/01  07:00:00,90.98,0.0
 01/01  07:15:00,143.42719936057827,0.0
 01/01  07:30:00,143.41831628654634,0.0
 01/01  07:45:00,97.4093923321314,0.0
 01/01  08:00:00,44.97999999999999,0.0
 01/01  08:15:00,131.16613274239742,0.0
 01/01  08:30:00,143.42344223232126,0.0
 01/01  08:45:00,2245.2923614704464,0.0
 01/01  09:00:00,3630.521389648865,14.619240170698408
 01/01  09:15:00,1737.744633856342,22.068661789562437
 01/01  09:30:00,1789.118095539793,38.76804585166224
 01/01  09:45:00,1780.2847487470794,58.977607818118514
 01/01  10:00:00,3679.23025389116,83.49836348911558
 01/01  10:15:00,2231.110796190243,101.06296061068183
 01/01  10:30:00,2254.7908248032145,118.14239175903526
 01/01  10:45:00,2256.992166559344,140.5286198878295
 01/01  11:00:00,2236.598774302572,153.7736070150095
 01/01  11:15:00,7939.234999786249,165.42380188339538
 01/01  11:30:00,5849.792866952173,175.03522869394754
 01/01  11:45:00,2932.438605221677,173.42050226746773
