Date/Time,Whole Building:Facility Total Electricity Demand Rate [W](TimeStep),PV1:Generator Produced DC Electricity Rate [W](TimeStep)
 01/01  00:15:00,2246.1713202526184,0.0
 01/01  00:30:00,2273.313323855563,0.0
 01/01  00:45:00,2243.941361957869,0.0
 01/01  01:00:00,2223.345536681342,0.0
 01/01  01:15:00,2233.420977379631,0.0
 01/01  01:30:00,2246.9803024850958,0.0
 01/01  01:45:00,2251.528215353604,0.0
 01/01  02:00:00,2252.505704782226,0.0
 01/01  02:15:00,2276.296278574959,0.0
 01/01  02:30:00,2311.7869874987427,0.0
 01/01  02:45:00,2337.438927991872,0.0
 01/01  03:00:00,2355.0571573891943,0.0
 01/01  03:15:00,2364.33885793752,0.0
 01/01  03:30:00,2377.5273199521343,0.0
 01/01  03:45:00,2391.158997779584,0.0
 01/01  04:00:00,2397.0717659620477,0.0
 01/01  04:15:00,2387.882252712006,0.0
 01/01  04:30:00,2391.196773398758,0.0
 01/01  04:45:00,2399.5226498447937,0.0
 01/01  05:00:00,2401.7788277330424,0.0
 01/01  05:15:00,2396.753749557146,0.0
 01/01  05:30:00,2399.606443856462,0.0
 01/01  05:45:00,2407.0774289256287,0.0
 01/01  06:00:00,2418.5183175725747,0.0
 01/01  06:15:00,2424.479637369941,0.0
 01/01  06:30:00,2477.741086074765,0.0
 01/01  06:45:00,2417.913272287012,0.0
 01/01  07:00:00,2431.8669932816106,0.0
 01/01  07:15:00,2411.8054701711726,0.0
 01/01  07:30:00,2413.8881905737308,0.0
 01/01  07:45:00,2407.4801156600447,0.0
 01/01  08:00:00,2412.143895534855,0.0
 01/01  08:15:00,2425.548123667245,0.0
 01/01  08:30:00,2432.8639986696544,0.0
 01/01  08:45:00,4398.512865199176,0.0
 01/01  09:00:00,5121.919036823508,3.930252759238046
 01/01  09:15:00,3249.014811866516,5.900866630037497
 01/01  09:30:00,3444.831159365877,7.615845877957708
 01/01  09:45:00,3463.0007098644573,10.158103365033433
 01/01  10:00:00,5021.1785997996885,12.701542305184125
 01/01  10:15:00,3490.53980122504,15.25864330161822
 01/01  10:30:00,3548.5609908487577,17.82156466854866
