Date/Time,Whole Building:Facility Total Electricity Demand Rate [W](TimeStep),PV1:Generator Produced DC Electricity Rate [W](TimeStep)
 01/01  00:15:00,2630.476493859656,0.0
 01/01  00:30:00,2660.052891210316,0.0
 01/01  00:45:00,2654.0023452157598,0.0
 01/01  01:00:00,2651.824846289687,0.0
 01/01  01:15:00,2692.985592476523,0.0
 01/01  01:30:00,2732.6041133157046,0.0
 01/01  01:45:00,2768.6084763696517,0.0
 01/01  02:00:00,2795.4861558489943,0.0
 01/01  02:15:00,2824.275000767463,0.0
 01/01  02:30:00,2859.85626111026,0.0
 01/01  02:45:00,2884.784454586801,0.0
 01/01  03:00:00,2902.411186370576,0.0
 01/01  03:15:00,2916.2062959324467,0.0
 01/01  03:30:00,2940.5350019431166,0.0
 01/01  03:45:00,2964.613703595098,0.0
 01/01  04:00:00,2977.5822289679377,0.0
 01/01  04:15:00,2977.5606640298506,0.0
 01/01  04:30:00,2988.998276094508,0.0
 01/01  04:45:00,3008.0333047071736,0.0
 01/01  05:00:00,3016.032880151861,0.0
 01/01  05:15:00,3019.986724110077,0.0
 01/01  05:30:00,3025.8390286182657,0.0
 01/01  05:45:00,3040.369645914844,0.0
 01/01  06:00:00,4271.621818029007,0.0
 01/01  06:15:00,6003.003968629849,0.0
 01/01  06:30:00,6736.94217661047,0.0
 01/01  06:45:00,6473.692431196612,0.0
 01/01  07:00:00,6570.496888292119,0.0
 01/01  07:15:00,4986.642801240358,0.0
 01/01  07:30:00,4959.7249412488,0.0
 01/01  07:45:00,1847.0676500302857,0.0
 01/01  08:00:00,2403.8281530435515,0.0
 01/01  08:15:00,2669.058041634886,0.0
 01/01  08:30:00,2880.4940553781826,0.0
 01/01  08:45:00,2824.7704577420645,0.0
 01/01  09:00:00,2891.206257113555,4.42254184312394
 01/01  09:15:00,2859.5903998012977,6.636070960553505
 01/01  09:30:00,2886.6763394325358,8.567455711858647
 01/01  09:45:00,2892.6304319612505,13.075503313786005
 01/01  10:00:00,2883.494755877906,17.584897749164295
 01/01  10:15:00,2897.771522208805,22.079172141076906
 01/01  10:30:00,2912.9588860123545,26.572022134563305
 01/01  10:45:00,2926.380763358796,30.419263304730528
 01/01  11:00:00,2930.239100963,34.267230819398215
 01/01  11:15:00,2914.93895761478,38.118549423951684
 01/01  11:30:00,2910.5598762468767,41.96867354183648
 01/01  11:45:00,2912.151124794588,43.6694341401136
 01/01  12:00:00,2901.7236494363374,45.374590602967594
 01/01  12:15:00,2955.482553312546,47.062610990357925
 01/01  12:30:00,2950.731151539013,48.75049654799335
 01/01  12:45:00,3050.233773570242,48.080546636734844
 01/01  13:00:00,3061.812058969184,47.41668085540876
 01/01  13:15:00,3059.577501178265,46.760750904845075
 01/01  13:30:00,3053.612224291425,46.106143063348824
 01/01  13:45:00,3055.3863064146603,48.605469977395614
 01/01  14:00:00,3063.23260283778,50.884916878731616
 01/01  14:15:00,3062.6801667434293,52.95012105425968
 01/01  14:30:00,3052.945576208298,54.664345385818365
 01/01  14:45:00,3058.6969061644086,48.15733633376632
 01/01  15:00:00,3073.666195854287,41.63111393027733
 01/01  15:15:00,3090.2627763340497,35.0169527401081
 01/01  15:30:00,3102.114747721545,28.153376407636543
 01/01  15:45:00,3103.975302671177,23.25182212985309
 01/01  16:00:00,3120.70061311763,18.347008358078632
 01/01  16:15:00,3169.012709556706,13.44420874399811
 01/01  16:30:00,3160.248556009186,8.806612331771369
 01/01  16:45:00,5704.900871258658,0.0
 01/01  17:00:00,5427.010235755368,0.0
 01/01  17:15:00,5331.602782473398,0.0
 01/01  17:30:00,5351.421514764585,0.0
 01/01  17:45:00,5383.012292699129,0.0
 01/01  18:00:00,5512.817369682689,0.0
 01/01  18:15:00,8206.46049940741,0.0
 01/01  18:30:00,8160.393737632492,0.0
 01/01  18:45:00,6267.700118513078,0.0
 01/01  19:00:00,5344.8418667478445,0.0
 01/01  19:15:00,7039.726692802916,0.0
 01/01  19:30:00,7109.026008301571,0.0
 01/01  19:45:00,5188.3255617952,0.0
 01/01  20:00:00,5128.545841557515,0.0
 01/01  20:15:00,5273.749119353195,0.0
 01/01  20:30:00,5253.797391902434,0.0
 01/01  20:45:00,8178.805580850333,0.0
 01/01  21:00:00,8160.29504320245,0.0
 01/01  21:15:00,6219.500035033627,0.0
 01/01  21:30:00,5276.372247571708,0.0
 01/01  21:45:00,5263.900819302578,0.0
 01/01  22:00:00,5288.129926030313,0.0
 01/01  22:15:00,5289.208684234764,0.0
 01/01  22:30:00,4068.4261208214657,0.0
 01/01  22:45:00,1943.1521151409315,0.0
 01/01  23:00:00,2212.26361774292,0.0
 01/01  23:15:00,2309.38060555178,0.0
 01/01  23:30:00,2631.182876686338,0.0
