Date/Time,Whole Building:Facility Total Electricity Demand Rate [W](TimeStep),PV1:Generator Produced DC Electricity Rate [W](TimeStep)
 01/01  00:15:00,2125.492911324215,0.0
 01/01  00:30:00,2134.1799155439558,0.0
 01/01  00:45:00,2109.606716153922,0.0
 01/01  01:00:00,2089.588235143549,0.0
 01/01  01:15:00,2103.389511862549,0.0
 01/01  01:30:00,2118.1006430238594,0.0
 01/01  01:45:00,2123.240633204827,0.0
 01/01  02:00:00,2124.522324848057,0.0
 01/01  02:15:00,2152.279327495521,0.0
 01/01  02:30:00,2188.9869436622234,0.0
 01/01  02:45:00,2214.147748927875,0.0
 01/01  03:00:00,2233.679726248665,0.0
 01/01  03:15:00,2244.4670020179974,0.0
 01/01  03:30:00,2258.040093126413,0.0
 01/01  03:45:00,2274.920820701272,0.0
 01/01  04:00:00,2279.2304893511564,0.0
 01/01  04:15:00,2272.937016597929,0.0
 01/01  04:30:00,2276.243738650522,0.0
 01/01  04:45:00,2288.01376193413,0.0
 01/01  05:00:00,2288.475691408799,0.0
 01/01  05:15:00,2286.6828525224296,0.0
 01/01  05:30:00,2288.190506545276,0.0
 01/01  05:45:00,2299.835846140438,0.0
 01/01  06:00:00,3616.8627980965057,0.0
 01/01  06:15:00,5715.823554248263,0.0
 01/01  06:30:00,6527.930571554691,0.0
 01/01  06:45:00,6259.301650979478,0.0
 01/01  07:00:00,6352.895681671083,0.0
 01/01  07:15:00,4690.885013496866,0.0
 01/01  07:30:00,4649.580807504391,0.0
 01/01  07:45:00,1219.4506127218965,0.0
 01/01  08:00:00,1700.551816163424,0.0
 01/01  08:15:00,1936.398162797264,0.0
 01/01  08:30:00,2148.1482204150752,0.0
 01/01  08:45:00,2151.2706821067763,0.0
 01/01  09:00:00,2151.32036183727,3.930252759238046
 01/01  09:15:00,2132.072422376541,5.900866630037497
 01/01  09:30:00,2166.4772571665744,7.615845877957708
 01/01  09:45:00,2180.00733898967,10.158103365033433
 01/01  10:00:00,2182.58668205834,12.701542305184125
 01/01  10:15:00,2207.893639848102,15.25864330161822
 01/01  10:30:00,2238.964645896612,17.82156466854866
 01/01  10:45:00,2262.893984826889,19.96430326311713
 01/01  11:00:00,2280.1618225280326,22.11211549194065
 01/01  11:15:00,2288.972995743326,24.250411064894596
 01/01  11:30:00,2306.4650997288654,26.390524326289057
 01/01  11:45:00,2328.810474304771,28.746010342142178
 01/01  12:00:00,2339.0634408040964,31.103393801022136
 01/01  12:15:00,2387.545404739948,33.418621736454405
 01/01  12:30:00,2381.728614102691,35.72889614502546
 01/01  12:45:00,2475.7352312148696,35.267128448670434
 01/01  13:00:00,2477.595228200904,34.810946044116285
 01/01  13:15:00,2463.6244357744204,34.34043988969773
 01/01  13:30:00,2448.779384773873,33.87100643492772
 01/01  13:45:00,2441.0389162146885,32.555406864459144
 01/01  14:00:00,2443.177086445263,31.24398623391245
 01/01  14:15:00,2442.521936403052,29.958728062837448
 01/01  14:30:00,2435.088488951173,28.675761716436813
 01/01  14:45:00,2439.123642572064,24.01522370045815
 01/01  15:00:00,2450.9918824179986,19.36404648095106
 01/01  15:15:00,2456.9824194396183,14.716772043542413
 01/01  15:30:00,2454.122963800831,10.078612975286454
 01/01  15:45:00,2449.6681632927234,7.971045322657847
 01/01  16:00:00,2449.3100878647683,5.866741754414771
 01/01  16:15:00,2590.8407489292704,3.770090804905361
 01/01  16:30:00,2565.837615570364,1.6745182545935695
 01/01  16:45:00,5465.734245022725,0.0
 01/01  17:00:00,5138.539336547299,0.0
 01/01  17:15:00,5038.335866096832,0.0
 01/01  17:30:00,5058.267929410209,0.0
 01/01  17:45:00,5088.974351545504,0.0
 01/01  18:00:00,5219.690458683227,0.0
 01/01  18:15:00,8200.402003303076,0.0
 01/01  18:30:00,8154.984212709386,0.0
 01/01  18:45:00,5792.397222914409,0.0
 01/01  19:00:00,5046.101875312133,0.0
 01/01  19:15:00,6739.19852027321,0.0
 01/01  19:30:00,6809.39558724581,0.0
 01/01  19:45:00,4891.824751952567,0.0
 01/01  20:00:00,4836.111106247459,0.0
 01/01  20:15:00,4986.822755776154,0.0
 01/01  20:30:00,4970.895346552697,0.0
 01/01  20:45:00,8173.268891875757,0.0
 01/01  21:00:00,8155.517836424894,0.0
 01/01  21:15:00,5795.641874318926,0.0
 01/01  21:30:00,5016.5640989132135,0.0
 01/01  21:45:00,4998.060299547938,0.0
 01/01  22:00:00,5031.656745719417,0.0
 01/01  22:15:00,5038.303308425839,0.0
 01/01  22:30:00,3551.306162626965,0.0
 01/01  22:45:00,1559.9163294886623,0.0
 01/01  23:00:00,1697.7375136403216,0.0
 01/01  23:15:00,1734.8994556537325,0.0
 01/01  23:30:00,2029.235184256336,0.0
 01/01  23:45:00,2136.8794187847884,0.0
 01/01  24:00:00,2143.846377720888,0.0
 01/02  00:15:00,2774.4907166475227,0.0
 01/02  00:30:00,2120.4950440628863,0.0
 01/02  00:45:00,2267.829728556704,0.0
 01/02  01:00:00,2202.694088215405,0.0
 01/02  01:15:00,2230.783639196824,0.0
 01/02  01:30:00,2262.266978331,0.0
 01/02  01:45:00,2270.986340989288,0.0
 01/02  02:00:00,2274.1785777394884,0.0
 01/02  02:15:00,2295.942982258118,0.0
 01/02  02:30:00,2325.44719918638,0.0
 01/02  02:45:00,2434.235709172165,0.0
 01/02  03:00:00,2349.2953112475398,0.0
 01/02  03:15:00,2455.058713705079,0.0
 01/02  03:30:00,2468.6710783642093,0.0
 01/02  03:45:00,2395.958040512117,0.0
 01/02  04:00:00,2503.6881174435484,0.0
 01/02  04:15:00,2497.054776595959,0.0
 01/02  04:30:00,2510.182385288798,0.0
 01/02  04:45:00,2528.353805266312,0.0
 01/02  05:00:00,2540.17279488271,0.0
 01/02  05:15:00,2542.996010728337,0.0
 01/02  05:30:00,2551.316473515399,0.0
 01/02  05:45:00,2566.7913825081496,0.0
 01/02  06:00:00,3831.15601299908,0.0
 01/02  06:15:00,6065.789453136255,0.0
 01/02  06:30:00,6560.187932829896,0.0
 01/02  06:45:00,6360.711358819612,0.0
