Date/Time,Whole Building:Facility Total Electricity Demand Rate [W](TimeStep),PV1:Generator Produced DC Electricity Rate [W](TimeStep)
 01/01  00:15:00,2530.3318095113304,0.0
 01/01  00:30:00,2558.082804147394,0.0
 01/01  00:45:00,2552.1701886478127,0.0
 01/01  01:00:00,2550.644533396878,0.0
 01/01  01:15:00,2590.7834342889814,0.0
 01/01  01:30:00,2630.797581605375,0.0
 01/01  01:45:00,2666.165750730416,0.0
 01/01  02:00:00,2694.633016725957,0.0
 01/01  02:15:00,2721.558246500038,0.0
 01/01  02:30:00,2759.616102866342,0.0
 01/01  02:45:00,2782.6398789433406,0.0
 01/01  03:00:00,2801.0277908894723,0.0
 01/01  03:15:00,2814.8167013565844,0.0
 01/01  03:30:00,2838.539600217941,0.0
 01/01  03:45:00,2861.417749370248,0.0
 01/01  04:00:00,2877.091238721328,0.0
 01/01  04:15:00,2875.5918938918044,0.0
 01/01  04:30:00,2886.564747604603,0.0
 01/01  04:45:00,2905.792382471769,0.0
 01/01  05:00:00,2914.498303503803,0.0
 01/01  05:15:00,2916.0818737762106,0.0
 01/01  05:30:00,2924.6050411395304,0.0
 01/01  05:45:00,2936.6419009161905,0.0
 01/01  06:00:00,4158.231716853481,0.0
 01/01  06:15:00,5529.038727603371,0.0
 01/01  06:30:00,6564.136021301065,0.0
 01/01  06:45:00,6474.779249096636,0.0
 01/01  07:00:00,6610.491790991908,0.0
 01/01  07:15:00,4989.574848022421,0.0
 01/01  07:30:00,5067.311281694383,0.0
 01/01  07:45:00,1875.039689081622,0.0
 01/01  08:00:00,2323.7474161098426,0.0
 01/01  08:15:00,2606.843853083033,0.0
 01/01  08:30:00,2845.524199777249,0.0
 01/01  08:45:00,2919.554577905785,0.0
 01/01  09:00:00,2943.56000798407,4.42254184312394
 01/01  09:15:00,2969.3426155949232,6.636070960553505
 01/01  09:30:00,2994.517969884207,8.567455711858647
 01/01  09:45:00,3001.621823798124,13.075503313786005
 01/01  10:00:00,2992.5533202517768,17.584897749164295
 01/01  10:15:00,3006.458607310846,22.079172141076906
 01/01  10:30:00,3027.4529512197464,26.572022134563305
 01/01  10:45:00,3037.8985780958005,30.419263304730528
 01/01  11:00:00,3043.962076062013,34.267230819398215
 01/01  11:15:00,3031.1238347816798,38.118549423951684
 01/01  11:30:00,3025.6125279246257,41.96867354183648
 01/01  11:45:00,3028.324657430058,43.6694341401136
 01/01  12:00:00,3019.5761437532747,45.374590602967594
 01/01  12:15:00,3011.0848285675083,47.062610990357925
 01/01  12:30:00,3009.0456134866936,48.75049654799335
 01/01  12:45:00,3021.459470683458,48.080546636734844
 01/01  13:00:00,3027.70547956,47.41668085540876
 01/01  13:15:00,3023.5501646383186,46.760750904845075
 01/01  13:30:00,3017.760518391932,46.106143063348824
 01/01  13:45:00,3019.5361993662304,48.70664935303335
 01/01  14:00:00,3027.544004864306,51.47919231070265
 01/01  14:15:00,3026.7572687386028,54.470738196926504
 01/01  14:30:00,3017.5669680271253,57.804842234441686
 01/01  14:45:00,3021.967591912995,50.44471123033811
 01/01  15:00:00,3036.9160867967985,43.00392787562364
 01/01  15:15:00,3055.783260638812,35.47931307571947
 01/01  15:30:00,3065.9346221844626,28.15297592081043
 01/01  15:45:00,3072.028977607973,23.251820220161562
 01/01  16:00:00,3085.8287983458977,18.347008349376562
 01/01  16:15:00,3217.8416547916136,13.444208743950945
 01/01  16:30:00,3206.5383566981814,8.806612331771074
 01/01  16:45:00,5613.065024994945,0.0
 01/01  17:00:00,5335.976045749153,0.0
 01/01  17:15:00,8183.539654677624,0.0
 01/01  17:30:00,8162.814787072337,0.0
 01/01  17:45:00,7147.450349523357,0.0
 01/01  18:00:00,5596.082037073476,0.0
 01/01  18:15:00,5315.008742773012,0.0
 01/01  18:30:00,5312.392640063477,0.0
 01/01  18:45:00,7079.423197069947,0.0
 01/01  19:00:00,7144.491954685172,0.0
 01/01  19:15:00,5878.705985371536,0.0
 01/01  19:30:00,5301.898020853403,0.0
 01/01  19:45:00,5177.225620076288,0.0
 01/01  20:00:00,5342.452251056948,0.0
 01/01  20:15:00,8198.374100873207,0.0
 01/01  20:30:00,8109.000164018596,0.0
 01/01  20:45:00,6161.85764822482,0.0
 01/01  21:00:00,5302.054808553412,0.0
 01/01  21:15:00,5283.737913556616,0.0
 01/01  21:30:00,5171.120249781296,0.0
 01/01  21:45:00,5159.953905330525,0.0
 01/01  22:00:00,5201.938624741577,0.0
 01/01  22:15:00,5213.817683569152,0.0
 01/01  22:30:00,3950.774917677743,0.0
 01/01  22:45:00,1739.1330916173097,0.0
 01/01  23:00:00,2010.0375317949783,0.0
 01/01  23:15:00,2282.374794353157,0.0
 01/01  23:30:00,2518.779730276275,0.0
 01/01  23:45:00,2504.1093322494976,0.0
 01/01  24:00:00,2552.478239392506,0.0
 01/02  00:15:00,3099.8348198086514,0.0
 01/02  00:30:00,2554.6594854494806,0.0
 01/02  00:45:00,2603.037196344133,0.0
 01/02  01:00:00,2599.317641317256,0.0
 01/02  01:15:00,2611.886842070485,0.0
 01/02  01:30:00,2636.584936979427,0.0
 01/02  01:45:00,2637.368036105294,0.0
 01/02  02:00:00,2634.424146686034,0.0
 01/02  02:15:00,2640.5056784136154,0.0
 01/02  02:30:00,2656.292904705694,0.0
 01/02  02:45:00,2660.703436917414,0.0
 01/02  03:00:00,2657.193496231648,0.0
 01/02  03:15:00,2658.7903150030543,0.0
 01/02  03:30:00,2669.2968342949043,0.0
 01/02  03:45:00,2678.605286256203,0.0
 01/02  04:00:00,2679.8823338841576,0.0
 01/02  04:15:00,2667.421687965042,0.0
 01/02  04:30:00,2663.9153873291075,0.0
 01/02  04:45:00,2669.312273973442,0.0
 01/02  05:00:00,2663.882072122537,0.0
 01/02  05:15:00,2654.4355104130573,0.0
 01/02  05:30:00,2647.071817592489,0.0
 01/02  05:45:00,2647.681749900191,0.0
 01/02  06:00:00,3922.4352535764674,0.0
 01/02  06:15:00,5397.893005886717,0.0
 01/02  06:30:00,6487.355176160208,0.0
 01/02  06:45:00,6400.7212569938365,0.0
 01/02  07:00:00,6537.400260775348,0.0
 01/02  07:15:00,4888.437574392915,0.0
 01/02  07:30:00,4959.154319952519,0.0
 01/02  07:45:00,1614.6325186306258,0.0
 01/02  08:00:00,2001.3863261669692,0.0
 01/02  08:15:00,2265.853404073365,0.0
 01/02  08:30:00,2503.45170038266,0.0
 01/02  08:45:00,2593.4458414762025,0.0
 01/02  09:00:00,2603.490564086431,4.334398207818082
 01/02  09:15:00,2626.345972735107,6.498642331318094
 01/02  09:30:00,2641.6424166745333,8.384542698429204
 01/02  09:45:00,2628.741106951808,20.803900866957154
 01/02  10:00:00,2588.106843356752,31.993836655088383
 01/02  10:15:00,2552.6547523687523,41.468861293129436
 01/02  10:30:00,2525.959611231195,51.52265340021995
 01/02  10:45:00,2507.7870601681257,56.65655860847579
 01/02  11:00:00,2487.901600639753,61.66676339720413
 01/02  11:15:00,2463.772403331198,67.17888697497636
 01/02  11:30:00,2448.538748262886,75.54705921694382
 01/02  11:45:00,2446.1934622088943,85.07290439924472
 01/02  12:00:00,2435.725586327901,95.09865448132223
 01/02  12:15:00,2428.5875020606004,105.281530387879
 01/02  12:30:00,2424.5185993352816,115.32619675263082
 01/02  12:45:00,2430.648228989433,113.90166026497508
 01/02  13:00:00,2428.3806526274207,111.73245152098139
 01/02  13:15:00,2416.322503187076,108.14577517241669
 01/02  13:30:00,2321.3092513549677,103.34544319568536
 01/02  13:45:00,2417.873727365068,93.59638039475874
 01/02  14:00:00,2334.782481681418,80.22129727877788
 01/02  14:15:00,2348.994235956753,69.00868941671959
 01/02  14:30:00,2349.8691402246445,57.30894321451396
 01/02  14:45:00,2355.4073261024314,52.5565613263277
 01/02  15:00:00,2365.955170059803,47.802325294702385
 01/02  15:15:00,2374.543417713555,43.08529238152465
 01/02  15:30:00,2373.543580745084,38.4525048869912
 01/02  15:45:00,2373.028689211553,29.444076828807937
 01/02  16:00:00,2380.950401905084,20.3864397258781
 01/02  16:15:00,2591.879597845051,12.25659420547224
 01/02  16:30:00,2568.556577975357,4.143839850397338
 01/02  16:45:00,5381.754760922779,0.0
 01/02  17:00:00,5039.206505191956,0.0
 01/02  17:15:00,8178.585147181564,0.0
 01/02  17:30:00,8157.840941109482,0.0
 01/02  17:45:00,6715.867290894974,0.0
 01/02  18:00:00,5238.095792640857,0.0
 01/02  18:15:00,4991.492029039679,0.0
 01/02  18:30:00,4981.821863949461,0.0
 01/02  18:45:00,6756.67387464207,0.0
 01/02  19:00:00,6818.777553565504,0.0
 01/02  19:15:00,5551.373556527795,0.0
 01/02  19:30:00,4973.362008283503,0.0
 01/02  19:45:00,4846.939416150304,0.0
 01/02  20:00:00,5009.262124529269,0.0
 01/02  20:15:00,8192.10503066988,0.0
 01/02  20:30:00,8102.997677973282,0.0
 01/02  20:45:00,5612.460747914563,0.0
 01/02  21:00:00,4959.654969060095,0.0
 01/02  21:15:00,4928.835799274551,0.0
 01/02  21:30:00,4821.141625198509,0.0
 01/02  21:45:00,4808.613194550558,0.0
 01/02  22:00:00,4848.877087093786,0.0
 01/02  22:15:00,4860.089818559656,0.0
 01/02  22:30:00,2776.915599501732,0.0
 01/02  22:45:00,1246.5333865598732,0.0
 01/02  23:00:00,1209.8578939967974,0.0
 01/02  23:15:00,1347.7383980742452,0.0
 01/02  23:30:00,1510.4111272584305,0.0
 01/02  23:45:00,1611.0050720012423,0.0
 01/02  24:00:00,1648.1265216450904,0.0
 01/03  00:15:00,1676.051418623803,0.0
 01/03  00:30:00,1697.9213630154177,0.0
 01/03  00:45:00,1706.981147981301,0.0
 01/03  01:00:00,1722.543200101042,0.0
