Date/Time,Whole Building:Facility Total Electricity Demand Rate [W](TimeStep),PV1:Generator Produced DC Electricity Rate [W](TimeStep)
 01/01  00:15:00,645.960420385327,0.0
 01/01  00:30:00,676.5270451384505,0.0
 01/01  00:45:00,649.6153394622451,0.0
 01/01  01:00:00,642.2676396402724,0.0
 01/01  01:15:00,676.3606825259617,0.0
 01/01  01:30:00,733.9005565118374,0.0
 01/01  01:45:00,734.7803898856571,0.0
 01/01  02:00:00,718.140475378177,0.0
 01/01  02:15:00,742.1852384441685,0.0
 01/01  02:30:00,808.7165331892784,0.0
 01/01  02:45:00,826.3499067875213,0.0
 01/01  03:00:00,811.8168734682263,0.0
 01/01  03:15:00,813.359595082209,0.0
 01/01  03:30:00,851.4107354483967,0.0
 01/01  03:45:00,894.4668745121028,0.0
 01/01  04:00:00,899.4348859746731,0.0
 01/01  04:15:00,875.2817944144217,0.0
 01/01  04:30:00,896.0690058095461,0.0
 01/01  04:45:00,957.7442139266408,0.0
 01/01  05:00:00,977.862681270948,0.0
 01/01  05:15:00,957.782006341953,0.0
 01/01  05:30:00,952.4912320269598,0.0
 01/01  05:45:00,982.4598764539844,0.0
 01/01  06:00:00,2539.120396602736,0.0
 01/01  06:15:00,4628.217634231048,0.0
 01/01  06:30:00,6224.766386890215,0.0
 01/01  06:45:00,5888.520760382666,0.0
 01/01  07:00:00,5961.511759774509,0.0
 01/01  07:15:00,4236.896142122863,0.0
 01/01  07:30:00,4155.382408321126,0.0
 01/01  07:45:00,463.5913973764905,0.0
 01/01  08:00:00,680.4958772030802,0.0
 01/01  08:15:00,758.6399805835134,0.0
 01/01  08:30:00,852.1915798985026,0.0
 01/01  08:45:00,857.5954938972986,0.0
 01/01  09:00:00,1016.1185871313288,18.744322876701442
 01/01  09:15:00,862.4120016855711,27.73380472867585
 01/01  09:30:00,906.218150736912,54.468610381156545
 01/01  09:45:00,904.2219703479512,74.0909538013676
 01/01  10:00:00,840.044558840294,88.66116689774235
 01/01  10:15:00,821.1503694352369,109.1589260165511
 01/01  10:30:00,839.9416450316847,123.94797272544606
 01/01  10:45:00,845.4241487725669,134.02224229318
 01/01  11:00:00,818.1521767125482,143.83632996118396
 01/01  11:15:00,786.2102583177975,153.01246128501973
 01/01  11:30:00,788.377543340388,161.19731880127415
 01/01  11:45:00,826.2769235531005,160.39020348852705
 01/01  12:00:00,823.415657622211,159.1118661476405
 01/01  12:15:00,718.9369743082508,157.17603692456632
 01/01  12:30:00,866.2860176501504,154.46549448563246
 01/01  12:45:00,818.1372019595368,144.22618848883994
 01/01  13:00:00,866.6606880239699,134.46995272418465
 01/01  13:15:00,856.5299621640555,125.22284150970722
 01/01  13:30:00,826.1433934513532,116.5159385924834
 01/01  13:45:00,830.4213669714335,104.43942683676954
 01/01  14:00:00,873.7815881407789,93.80238027210254
 01/01  14:15:00,878.8908788609303,85.96730407553468
 01/01  14:30:00,846.0965035744063,78.59500503598326
 01/01  14:45:00,853.1499187546464,70.90323220443311
 01/01  15:00:00,896.0088195145626,63.85136583108563
 01/01  15:15:00,933.0010542091904,56.57299559015642
 01/01  15:30:00,932.7328292311546,49.09764057930323
 01/01  15:45:00,921.2531126520946,39.83407619293083
 01/01  16:00:00,950.4025396944252,30.841533477107447
 01/01  16:15:00,1331.3728607583805,20.682457038443864
 01/01  16:30:00,1317.131109819664,10.014730891105302
 01/01  16:45:00,5103.4164711762905,0.0
 01/01  17:00:00,4533.467554511054,0.0
 01/01  17:15:00,4419.180155904885,0.0
 01/01  17:30:00,4435.339203641703,0.0
 01/01  17:45:00,4458.84996152443,0.0
 01/01  18:00:00,4585.537090742914,0.0
 01/01  18:15:00,8188.810852092355,0.0
 01/01  18:30:00,7779.541126088739,0.0
 01/01  18:45:00,4850.641105211719,0.0
 01/01  19:00:00,4397.849463663717,0.0
 01/01  19:15:00,5889.042613052843,0.0
 01/01  19:30:00,5936.068952879362,0.0
 01/01  19:45:00,4314.994936475512,0.0
 01/01  20:00:00,4190.9683932077305,0.0
 01/01  20:15:00,4337.1325558977815,0.0
 01/01  20:30:00,4318.1235604665135,0.0
 01/01  20:45:00,8161.236311141084,0.0
 01/01  21:00:00,7752.302523287684,0.0
 01/01  21:15:00,4811.115639308268,0.0
 01/01  21:30:00,4336.66803639178,0.0
 01/01  21:45:00,4318.175930258959,0.0
 01/01  22:00:00,4351.808032454523,0.0
 01/01  22:15:00,4356.006349688567,0.0
 01/01  22:30:00,1254.1722368874796,0.0
 01/01  22:45:00,785.1532366377363,0.0
 01/01  23:00:00,861.7407820871875,0.0
 01/01  23:15:00,742.7616200919546,0.0
 01/01  23:30:00,678.9795881371082,0.0
 01/01  23:45:00,655.6394440886364,0.0
 01/01  24:00:00,668.5184230470059,0.0
 01/02  00:15:00,1510.1447193455049,0.0
 01/02  00:30:00,688.0177359039043,0.0
 01/02  00:45:00,814.8228539892491,0.0
 01/02  01:00:00,691.0293207580144,0.0
 01/02  01:15:00,752.0846066196464,0.0
 01/02  01:30:00,809.0483474979064,0.0
 01/02  01:45:00,812.4289714905248,0.0
 01/02  02:00:00,791.2852388058823,0.0
 01/02  02:15:00,811.1420154566115,0.0
 01/02  02:30:00,870.4446181223556,0.0
 01/02  02:45:00,884.5434701143968,0.0
 01/02  03:00:00,862.510249075147,0.0
 01/02  03:15:00,863.3292800862885,0.0
 01/02  03:30:00,899.439139298071,0.0
 01/02  03:45:00,942.0633582533504,0.0
 01/02  04:00:00,944.7834681564505,0.0
 01/02  04:15:00,912.419820852204,0.0
 01/02  04:30:00,925.1803985057408,0.0
 01/02  04:45:00,978.2916718970358,0.0
 01/02  05:00:00,989.3631234656564,0.0
 01/02  05:15:00,964.549840252314,0.0
 01/02  05:30:00,951.893692329342,0.0
 01/02  05:45:00,977.1706788173802,0.0
 01/02  06:00:00,2527.035125129543,0.0
 01/02  06:15:00,4609.332365675954,0.0
 01/02  06:30:00,6218.157741443395,0.0
 01/02  06:45:00,5878.85658163275,0.0
 01/02  07:00:00,5949.378092665549,0.0
 01/02  07:15:00,4220.616193233707,0.0
 01/02  07:30:00,4136.366549980209,0.0
 01/02  07:45:00,433.3168666925762,0.0
 01/02  08:00:00,639.496270356734,0.0
 01/02  08:15:00,714.4126022540861,0.0
 01/02  08:30:00,773.8137236752173,0.0
 01/02  08:45:00,813.1545054007006,0.0
 01/02  09:00:00,978.4966051281764,3.4456938923753366
 01/02  09:15:00,834.4286137822796,5.172298376535283
 01/02  09:30:00,885.8334287594472,6.669591120703249
 01/02  09:45:00,891.3374542354045,8.12567025762511
 01/02  10:00:00,843.4736642905738,9.581540336420401
 01/02  10:15:00,843.9606517244489,11.034617555732597
 01/02  10:30:00,877.4361539765499,12.48651695881238
 01/02  10:45:00,891.3893487949053,16.374759044785687
 01/02  11:00:00,873.5348843290176,20.237453601207278
 01/02  11:15:00,845.4707862045663,24.07047253208272
 01/02  11:30:00,852.2098035360832,27.862899063768054
 01/02  11:45:00,891.8845268123041,25.603322448377583
 01/02  12:00:00,894.526320382568,23.387593904458143
 01/02  12:15:00,895.6047409455498,21.204519487887
 01/02  12:30:00,972.8288097556424,19.0711798079642
 01/02  12:45:00,958.8835465700683,28.276718328792143
 01/02  13:00:00,989.01175043041,37.35888708378164
 01/02  13:15:00,974.27968215375,46.347693749487625
 01/02  13:30:00,941.3672266904556,54.97197753383454
 01/02  13:45:00,945.9634728645686,54.1749363039482
 01/02  14:00:00,990.5318302611628,52.23265903560943
 01/02  14:15:00,990.9659647922427,48.25948475699855
 01/02  14:30:00,954.5056407975072,44.985083140992714
 01/02  14:45:00,957.5492777347442,40.056263627159495
 01/02  15:00:00,998.569513775493,35.541913022647606
 01/02  15:15:00,1037.8939676452346,30.955117901966595
 01/02  15:30:00,1039.6363624011292,26.286282172888054
 01/02  15:45:00,1026.340251405468,21.347480219415417
 01/02  16:00:00,1053.665987188463,16.317302532659927
 01/02  16:15:00,1438.953872013271,11.428821849428923
 01/02  16:30:00,1403.0680185375058,5.824638089534606
 01/02  16:45:00,5131.643706059272,0.0
 01/02  17:00:00,4585.444445157387,0.0
 01/02  17:15:00,4474.030387735967,0.0
 01/02  17:30:00,4491.35238766228,0.0
 01/02  17:45:00,4517.08422590822,0.0
 01/02  18:00:00,4645.984998695513,0.0
 01/02  18:15:00,8189.786381141002,0.0
 01/02  18:30:00,7856.990906177371,0.0
 01/02  18:45:00,4939.0276435274345,0.0
 01/02  19:00:00,4468.568277898129,0.0
 01/02  19:15:00,6016.394728371954,0.0
 01/02  19:30:00,6070.588423714291,0.0
 01/02  19:45:00,4380.431053007702,0.0
 01/02  20:00:00,4268.370166239167,0.0
 01/02  20:15:00,4416.564507535485,0.0
 01/02  20:30:00,4398.405521293581,0.0
 01/02  20:45:00,8162.537884930929,0.0
 01/02  21:00:00,7863.573769706201,0.0
 01/02  21:15:00,4921.443070643792,0.0
 01/02  21:30:00,4422.750544565168,0.0
 01/02  21:45:00,4405.96626278515,0.0
 01/02  22:00:00,4439.348624837014,0.0
 01/02  22:15:00,4444.455895925616,0.0
 01/02  22:30:00,1487.432245003466,0.0
 01/02  22:45:00,892.7031769676975,0.0
 01/02  23:00:00,974.3506318364736,0.0
 01/02  23:15:00,836.5786111896048,0.0
 01/02  23:30:00,768.7683010754506,0.0
 01/02  23:45:00,781.7385734085448,0.0
 01/02  24:00:00,824.2228632154697,0.0
 01/03  00:15:00,891.0784985139627,0.0
 01/03  00:30:00,918.587229515012,0.0
 01/03  00:45:00,898.8261995632081,0.0
 01/03  01:00:00,904.682339708438,0.0
 01/03  01:15:00,944.4329968878452,0.0
 01/03  01:30:00,982.6882887179707,0.0
 01/03  01:45:00,981.0879075000894,0.0
 01/03  02:00:00,956.2679751074508,0.0
 01/03  02:15:00,970.6973700761972,0.0
 01/03  02:30:00,1029.2054856316922,0.0
 01/03  02:45:00,1038.6303138558003,0.0
 01/03  03:00:00,1014.7344892359896,0.0
 01/03  03:15:00,1005.0528625786789,0.0
 01/03  03:30:00,1029.7758316645145,0.0
 01/03  03:45:00,1061.3274845155047,0.0
 01/03  04:00:00,1054.2048809854914,0.0
 01/03  04:15:00,1012.4133501276616,0.0
 01/03  04:30:00,1017.720958919297,0.0
 01/03  04:45:00,1061.7730558127446,0.0
 01/03  05:00:00,1065.9569465599352,0.0
 01/03  05:15:00,1040.173671577849,0.0
 01/03  05:30:00,1026.9705371100413,0.0
 01/03  05:45:00,1052.553808912519,0.0
 01/03  06:00:00,2428.075396932109,0.0
 01/03  06:15:00,4702.547377501629,0.0
 01/03  06:30:00,6227.60731556938,0.0
 01/03  06:45:00,5890.44132273358,0.0
 01/03  07:00:00,5971.275681114297,0.0
 01/03  07:15:00,4245.700979799058,0.0
 01/03  07:30:00,4160.403410588944,0.0
 01/03  07:45:00,443.6171314503956,0.0
 01/03  08:00:00,661.8071871607,0.0
 01/03  08:15:00,752.2485612710043,0.0
 01/03  08:30:00,843.9790298162875,0.0
 01/03  08:45:00,857.6850653469155,0.0
 01/03  09:00:00,1022.6105384666992,3.002232824934369
 01/03  09:15:00,874.9343344257695,4.505069076871768
 01/03  09:30:00,923.1539436263236,5.804505291351361
 01/03  09:45:00,923.9944999009292,12.600667547743285
 01/03  10:00:00,870.1476674307338,19.39099001333698
 01/03  10:15:00,869.089112743108,26.173838593285605
 01/03  10:30:00,900.5530978405319,32.936641734942604
 01/03  10:45:00,916.9360476646976,35.36192294049953
 01/03  11:00:00,898.8832605680739,37.75127916397372
 01/03  11:15:00,872.0899466266015,40.08204644260144
 01/03  11:30:00,878.6817919880775,43.630362630426475
 01/03  11:45:00,918.330121133959,44.971319020872585
 01/03  12:00:00,917.5674637812084,47.67196139560976
 01/03  12:15:00,942.542638180433,50.4945979405751
 01/03  12:30:00,995.5400264702744,53.38035712877899
 01/03  12:45:00,997.8329919590294,51.31931658309033
 01/03  13:00:00,1034.675816970398,49.27737918572527
 01/03  13:15:00,1034.584005207705,47.223714467421914
 01/03  13:30:00,1016.1039036299084,45.11587930604898
 01/03  13:45:00,1035.259489400525,41.64639166199829
 01/03  14:00:00,1091.5474851692095,38.203648493113405
 01/03  14:15:00,1096.5984863304022,34.79034576007538
 01/03  14:30:00,1065.4071558929495,31.42649773259208
 01/03  14:45:00,1068.1203607092311,28.53965299260007
 01/03  15:00:00,1104.2760967016711,26.08828638943768
 01/03  15:15:00,1146.5578457944068,23.17428482786798
 01/03  15:30:00,1151.857891543636,20.252737083984627
 01/03  15:45:00,1139.6250826821692,16.890147893687757
 01/03  16:00:00,1180.1562410452816,13.522091875022078
 01/03  16:15:00,1544.726779202424,10.140343473944128
 01/03  16:30:00,1500.412458174837,6.758247867518854
 01/03  16:45:00,5152.186255818573,0.0
 01/03  17:00:00,4630.075627198252,0.0
 01/03  17:15:00,4520.198573284694,0.0
 01/03  17:30:00,4538.213761652449,0.0
 01/03  17:45:00,4565.571730352123,0.0
 01/03  18:00:00,4695.279104041524,0.0
 01/03  18:15:00,8190.703559986786,0.0
 01/03  18:30:00,7938.159734976312,0.0
 01/03  18:45:00,5005.073562392003,0.0
 01/03  19:00:00,4524.959829408977,0.0
 01/03  19:15:00,6110.8018758069,0.0
 01/03  19:30:00,6185.303775702711,0.0
 01/03  19:45:00,4434.016073061671,0.0
 01/03  20:00:00,4336.544189555923,0.0
 01/03  20:15:00,4488.690900973123,0.0
 01/03  20:30:00,4475.500554782287,0.0
 01/03  20:45:00,8164.016891772335,0.0
 01/03  21:00:00,8001.936692076503,0.0
 01/03  21:15:00,5020.711096021099,0.0
 01/03  21:30:00,4517.947770607585,0.0
 01/03  21:45:00,4511.040196493065,0.0
 01/03  22:00:00,4548.63047819128,0.0
 01/03  22:15:00,4560.218927932412,0.0
 01/03  22:30:00,1799.715025179128,0.0
 01/03  22:45:00,1073.9143774108445,0.0
 01/03  23:00:00,1163.684039279571,0.0
 01/03  23:15:00,1009.359687362369,0.0
 01/03  23:30:00,1051.19996871869,0.0
 01/03  23:45:00,1203.3059539361595,0.0
 01/03  24:00:00,1096.0793374430411,0.0
 01/04  00:15:00,2944.5826760423465,0.0
 01/04  00:30:00,2164.707295755198,0.0
 01/04  00:45:00,2464.019651813348,0.0
 01/04  01:00:00,1125.0061166284486,0.0
 01/04  01:15:00,1212.012592705903,0.0
 01/04  01:30:00,1282.933812137169,0.0
 01/04  01:45:00,1291.7767972967868,0.0
 01/04  02:00:00,1288.6655833707675,0.0
 01/04  02:15:00,1324.1908692708685,0.0
 01/04  02:30:00,1395.4789311990298,0.0
 01/04  02:45:00,1419.9679144573545,0.0
 01/04  03:00:00,1409.921132269108,0.0
 01/04  03:15:00,1408.8125797626108,0.0
 01/04  03:30:00,1445.1046835145562,0.0
 01/04  03:45:00,1489.021630559742,0.0
 01/04  04:00:00,1491.783785511392,0.0
 01/04  04:15:00,1467.9641921064283,0.0
 01/04  04:30:00,1524.3957304205946,0.0
 01/04  04:45:00,1544.7641431150073,0.0
 01/04  05:00:00,1562.8745382672832,0.0
 01/04  05:15:00,1575.8989613424983,0.0
 01/04  05:30:00,1592.8708074296717,0.0
 01/04  05:45:00,1616.69262649447,0.0
 01/04  06:00:00,2879.2390452995514,0.0
 01/04  06:15:00,5167.127641971841,0.0
 01/04  06:30:00,6428.180531727509,0.0
 01/04  06:45:00,6107.98769930049,0.0
 01/04  07:00:00,6180.759767921903,0.0
 01/04  07:15:00,4470.658749380476,0.0
 01/04  07:30:00,4395.861237258446,0.0
 01/04  07:45:00,795.5155302703836,0.0
 01/04  08:00:00,1156.7788679298278,0.0
 01/04  08:15:00,1345.4888673757314,0.0
 01/04  08:30:00,1540.9964409753495,0.0
 01/04  08:45:00,1537.915332391757,0.0
 01/04  09:00:00,1569.6077221738312,20.516908224517703
 01/04  09:15:00,1507.5537467830936,30.539825083806967
 01/04  09:30:00,1552.4758568459772,57.362333688228944
 01/04  09:45:00,1567.747968467752,82.15710863799723
 01/04  10:00:00,1556.402365447852,102.51185084367401
 01/04  10:15:00,1538.790127942596,129.30711498613707
 01/04  10:30:00,1526.3251135236217,148.92972900595356
 01/04  10:45:00,1514.3546834267524,162.25382429655804
 01/04  11:00:00,1491.0026120396917,174.63609725599648
 01/04  11:15:00,1464.786545086331,185.50711218873082
 01/04  11:30:00,1445.4623051469696,194.69565305879235
 01/04  11:45:00,1444.9547174834368,194.11900968577953
 01/04  12:00:00,1428.074252329894,192.18787428793883
 01/04  12:15:00,1522.8670267757875,192.48653877458818
 01/04  12:30:00,1525.2657923081983,186.8642089479339
 01/04  12:45:00,1572.0910789654422,172.56622466015517
 01/04  13:00:00,1615.8827365614816,157.3912331163237
 01/04  13:15:00,1607.852706805259,141.51940680703487
 01/04  13:30:00,1606.9944809074686,125.11127450080402
 01/04  13:45:00,1611.995528172734,104.18638608291756
 01/04  14:00:00,1621.834564465558,85.26959865114645
 01/04  14:15:00,1627.048299592128,69.1533245745814
 01/04  14:30:00,1629.7100486626082,56.833921145984554
 01/04  14:45:00,1646.816207245972,53.63251176870746
 01/04  15:00:00,1673.9254076964223,49.827379661740714
 01/04  15:15:00,1723.26180722314,46.0201448587986
 01/04  15:30:00,1768.4775002672288,43.750016298687726
 01/04  15:45:00,1813.3195328167308,36.02476979784154
 01/04  16:00:00,1866.7416147435813,28.116131412793937
 01/04  16:15:00,2149.294482231656,19.987825740946448
 01/04  16:30:00,2129.6525854196784,11.942089670644046
 01/04  16:45:00,5269.638595889598,0.0
 01/04  17:00:00,4933.247203696598,0.0
 01/04  17:15:00,4829.771106696962,0.0
 01/04  17:30:00,4850.284545014671,0.0
 01/04  17:45:00,4880.616245173263,0.0
 01/04  18:00:00,5011.493263563565,0.0
 01/04  18:15:00,8195.724403827946,0.0
 01/04  18:30:00,8151.0384324270335,0.0
 01/04  18:45:00,5439.371100400559,0.0
 01/04  19:00:00,4843.220369137572,0.0
 01/04  19:15:00,6540.407608633187,0.0
 01/04  19:30:00,6610.179213071297,0.0
 01/04  19:45:00,4691.636103589513,0.0
 01/04  20:00:00,4636.873724637691,0.0
 01/04  20:15:00,4784.9887142165135,0.0
 01/04  20:30:00,4765.859155952473,0.0
 01/04  20:45:00,8168.465580371302,0.0
 01/04  21:00:00,8151.286865117577,0.0
 01/04  21:15:00,5419.881363315546,0.0
 01/04  21:30:00,4796.002437924866,0.0
 01/04  21:45:00,4779.212032862298,0.0
 01/04  22:00:00,4813.0436024533055,0.0
 01/04  22:15:00,4819.41538527674,0.0
 01/04  22:30:00,2643.6063907223493,0.0
 01/04  22:45:00,1385.3911751882197,0.0
 01/04  23:00:00,1441.344184030875,0.0
 01/04  23:15:00,1320.7216792232605,0.0
 01/04  23:30:00,1585.3197296429184,0.0
 01/04  23:45:00,1681.719600453955,0.0
 01/04  24:00:00,1660.4315787887183,0.0
 01/05  00:15:00,3236.4397825388623,0.0
 01/05  00:30:00,2119.557588621722,0.0
 01/05  00:45:00,1441.8956931625144,0.0
 01/05  01:00:00,1542.4784056492797,0.0
 01/05  01:15:00,1611.4457362702535,0.0
 01/05  01:30:00,1664.918969549414,0.0
 01/05  01:45:00,1694.0554062947238,0.0
 01/05  02:00:00,1708.4661395842163,0.0
 01/05  02:15:00,1730.570595148154,0.0
 01/05  02:30:00,1760.861771742676,0.0
 01/05  02:45:00,1775.8543462292876,0.0
 01/05  03:00:00,1785.8739268792951,0.0
 01/05  03:15:00,1799.3580683134985,0.0
 01/05  03:30:00,1820.103965278613,0.0
 01/05  03:45:00,1841.9690012396368,0.0
 01/05  04:00:00,1852.070028158968,0.0
 01/05  04:15:00,1858.5337815054877,0.0
 01/05  04:30:00,1877.6700365474592,0.0
 01/05  04:45:00,1902.0839812319437,0.0
 01/05  05:00:00,1916.8874489273755,0.0
 01/05  05:15:00,1923.4992673759857,0.0
 01/05  05:30:00,1935.0396552699476,0.0
 01/05  05:45:00,1953.504817483417,0.0
 01/05  06:00:00,1973.6773766077936,0.0
 01/05  06:15:00,1981.779040545265,0.0
 01/05  06:30:00,2072.116276711424,0.0
 01/05  06:45:00,1939.0189391902777,0.0
 01/05  07:00:00,1997.3774672972363,0.0
 01/05  07:15:00,1949.70298070906,0.0
 01/05  07:30:00,1960.8397906425569,0.0
 01/05  07:45:00,3542.171126242699,0.0
 01/05  08:00:00,5664.318728679221,0.0
 01/05  08:15:00,5673.709275349032,0.0
 01/05  08:30:00,5611.817381902649,0.0
 01/05  08:45:00,5584.754916479337,0.0
 01/05  09:00:00,5541.057109514568,18.542419788455177
 01/05  09:15:00,8393.421230274178,27.651692449568056
 01/05  09:30:00,8398.785516677899,45.60784884167751
 01/05  09:45:00,5525.086077556545,77.60383651488957
 01/05  10:00:00,4556.996561580476,109.392256917531
 01/05  10:15:00,4522.523774752909,131.60795070670414
 01/05  10:30:00,8013.982613546265,153.12962220074078
 01/05  10:45:00,7964.827063052246,170.81755868905253
 01/05  11:00:00,5153.845267395002,190.7271740947113
 01/05  11:15:00,4615.314398789299,204.51969025298592
 01/05  11:30:00,4603.737193726214,215.648401162645
 01/05  11:45:00,4645.8397155762905,214.35972380608834
 01/05  12:00:00,4644.810296110212,210.73836094806967
 01/05  12:15:00,4601.344295115478,204.43428592920657
 01/05  12:30:00,4591.553962133827,195.44205147157163
 01/05  12:45:00,4615.736644971081,175.1565883717608
 01/05  13:00:00,4628.126605676796,154.24904162544325
 01/05  13:15:00,4614.763104085148,133.24313879699133
 01/05  13:30:00,4588.652233618786,112.18486559560509
 01/05  13:45:00,4598.066572346639,87.95756685548163
 01/05  14:00:00,4645.978176247549,67.16139245869098
 01/05  14:15:00,4646.781220558468,50.65642046091122
 01/05  14:30:00,4608.903744209442,39.5530187450614
 01/05  14:45:00,4601.545460180663,34.61865732053994
 01/05  15:00:00,4628.563714866666,31.81292582445554
 01/05  15:15:00,4651.986249112412,28.999195540005104
 01/05  15:30:00,4640.956611909995,26.18234409040162
 01/05  15:45:00,4610.593677296472,23.4676176028319
 01/05  16:00:00,4616.230861162728,18.406010205518633
 01/05  16:15:00,5077.585234564484,13.262068669319797
 01/05  16:30:00,5067.004700105989,8.671328112324451
 01/05  16:45:00,4729.657561817468,0.0
 01/05  17:00:00,4619.188236845467,0.0
 01/05  17:15:00,4656.529824807079,0.0
 01/05  17:30:00,4687.690078593517,0.0
 01/05  17:45:00,4737.026078049176,0.0
 01/05  18:00:00,4877.300489981759,0.0
 01/05  18:15:00,4705.578183605381,0.0
 01/05  18:30:00,4866.819261643681,0.0
 01/05  18:45:00,4856.938539853478,0.0
 01/05  19:00:00,4838.9984416072775,0.0
 01/05  19:15:00,6450.207977561903,0.0
 01/05  19:30:00,6528.134529638206,0.0
 01/05  19:45:00,6546.371192879615,0.0
 01/05  20:00:00,6336.179509852194,0.0
 01/05  20:15:00,4900.535503707484,0.0
 01/05  20:30:00,4746.24835069228,0.0
 01/05  20:45:00,4782.086424164861,0.0
 01/05  21:00:00,4811.064332178248,0.0
 01/05  21:15:00,4808.860506878562,0.0
 01/05  21:30:00,4770.901963427921,0.0
 01/05  21:45:00,4772.09936625687,0.0
 01/05  22:00:00,4812.927962932946,0.0
 01/05  22:15:00,4817.861968082991,0.0
 01/05  22:30:00,4789.983303937605,0.0
 01/05  22:45:00,4773.090378403363,0.0
 01/05  23:00:00,1233.482537718609,0.0
