Date/Time,Whole Building:Facility Total Electricity Demand Rate [W](TimeStep),PV1:Generator Produced DC Electricity Rate [W](TimeStep)
 01/01  00:15:00,1347.9842075424222,0.0
 01/01  00:30:00,1326.3592906710855,0.0
 01/01  00:45:00,1400.9298868170144,0.0
 01/01  01:00:00,1441.9095071530337,0.0
 01/01  01:15:00,1464.353217830248,0.0
 01/01  01:30:00,1481.570449033363,0.0
 01/01  01:45:00,1492.9171186469025,0.0
 01/01  02:00:00,1499.0691776243318,0.0
 01/01  02:15:00,1509.8346759595072,0.0
 01/01  02:30:00,1525.1863976439363,0.0
 01/01  02:45:00,1531.2597451379431,0.0
 01/01  03:00:00,1530.553323074067,0.0
 01/01  03:15:00,1534.3401770860837,0.0
 01/01  03:30:00,1542.614610225976,0.0
 01/01  03:45:00,1554.6164830460368,0.0
 01/01  04:00:00,1554.9629590168297,0.0
 01/01  04:15:00,1555.0062783533144,0.0
 01/01  04:30:00,1563.885880285003,0.0
 01/01  04:45:00,1580.4646021332703,0.0
 01/01  05:00:00,1587.8406691954494,0.0
 01/01  05:15:00,1590.7778493185124,0.0
 01/01  05:30:00,1600.2115838816146,0.0
 01/01  05:45:00,1615.3888245528417,0.0
 01/01  06:00:00,1634.6256997397102,0.0
 01/01  06:15:00,1641.8219655353869,0.0
 01/01  06:30:00,1741.6154037124263,0.0
 01/01  06:45:00,1608.5579177537118,0.0
 01/01  07:00:00,1676.8064295834151,0.0
 01/01  07:15:00,1638.202029982885,0.0
 01/01  07:30:00,1642.6381610411092,0.0
 01/01  07:45:00,1633.7870608089004,0.0
 01/01  08:00:00,1636.4080066080492,0.0
 01/01  08:15:00,1653.4006061930984,0.0
 01/01  08:30:00,1662.2213279702485,0.0
 01/01  08:45:00,3829.921863978778,0.0
 01/01  09:00:00,4643.199013985213,8.665671866274838
 01/01  09:15:00,2639.8694034420573,12.995929806041696
 01/01  09:30:00,2807.1269540922235,17.054820468950123
 01/01  09:45:00,2808.5650524889493,23.356344765893056
 01/01  10:00:00,4684.077937531721,29.464800207235808
 01/01  10:15:00,3146.498094759901,35.50382408875233
 01/01  10:30:00,3187.891742667963,41.49111271783768
 01/01  10:45:00,3180.569344200051,47.941567093906166
 01/01  11:00:00,3155.0986956143315,54.30215189286837
 01/01  11:15:00,7952.762865359327,60.607289301710665
 01/01  11:30:00,7465.213890724833,67.09519745580918
 01/01  11:45:00,3987.7512797824447,66.81829661319762
 01/01  12:00:00,3178.4877235357253,66.55571885762394
 01/01  12:15:00,781.5084249393046,66.2900020861526
 01/01  12:30:00,939.0495113951308,66.01986951623908
 01/01  12:45:00,1074.421397972905,67.32990327346964
 01/01  13:00:00,1280.6534768614615,68.63279317257937
 01/01  13:15:00,1417.8196206949256,69.9284571207294
 01/01  13:30:00,1513.9363725766514,71.2152097102717
 01/01  13:45:00,1499.5751161376847,61.10439961740695
 01/01  14:00:00,1534.2959506742689,51.00896602151304
 01/01  14:15:00,1551.5389611232551,40.9119178144149
 01/01  14:30:00,1564.920317815169,30.78275589011416
 01/01  14:45:00,1576.0900522025568,32.516898617346094
 01/01  15:00:00,1585.0513293950285,34.27394888358676
 01/01  15:15:00,1593.315715123883,36.10159491350386
 01/01  15:30:00,1593.9547202182414,38.23160493194788
 01/01  15:45:00,1599.6341044422643,30.099830573513444
 01/01  16:00:00,1614.9568910465646,21.83287359771913
 01/01  16:15:00,4114.206105879721,13.81996792460567
 01/01  16:30:00,3656.009974130835,5.821796960379148
 01/01  16:45:00,3286.4974035065934,0.0
 01/01  17:00:00,3323.8363008311044,0.0
 01/01  17:15:00,8142.606960011364,0.0
 01/01  17:30:00,7728.446004250416,0.0
 01/01  17:45:00,4236.576587665084,0.0
 01/01  18:00:00,3559.4049602766718,0.0
 01/01  18:15:00,3359.696055510149,0.0
 01/01  18:30:00,4890.999549613542,0.0
 01/01  18:45:00,6575.021062371047,0.0
 01/01  19:00:00,6526.633643416611,0.0
 01/01  19:15:00,5262.107872534347,0.0
