Date/Time,Whole Building:Facility Total Electricity Demand Rate [W](TimeStep),PV1:Generator Produced DC Electricity Rate [W](TimeStep)
 01/01  00:15:00,1173.6184704465206,0.0
 01/01  00:30:00,1230.6887689984585,0.0
 01/01  00:45:00,1227.5049990362684,0.0
 01/01  01:00:00,1255.3388092856176,0.0
 01/01  01:15:00,1290.356929774487,0.0
 01/01  01:30:00,1326.1125256789314,0.0
 01/01  01:45:00,1324.2758444800916,0.0
 01/01  02:00:00,1294.842449947089,0.0
 01/01  02:15:00,1328.0939865280989,0.0
 01/01  02:30:00,1354.5927907665437,0.0
 01/01  02:45:00,1361.5319296592863,0.0
 01/01  03:00:00,1333.6120292967582,0.0
 01/01  03:15:00,1362.212940622661,0.0
 01/01  03:30:00,1362.5643713927966,0.0
 01/01  03:45:00,1379.0466537744787,0.0
 01/01  04:00:00,1378.9820407394973,0.0
 01/01  04:15:00,1381.5243835318197,0.0
 01/01  04:30:00,1391.087653935701,0.0
 01/01  04:45:00,1409.5580476205373,0.0
 01/01  05:00:00,1416.3509352390188,0.0
 01/01  05:15:00,1425.048452339778,0.0
 01/01  05:30:00,1431.323844395792,0.0
 01/01  05:45:00,1451.0330126390104,0.0
 01/01  06:00:00,2792.6282492816827,0.0
 01/01  06:15:00,4997.002386563556,0.0
 01/01  06:30:00,6355.222658022524,0.0
 01/01  06:45:00,6035.6415818341975,0.0
 01/01  07:00:00,6121.63108299549,0.0
 01/01  07:15:00,4405.929887337564,0.0
 01/01  07:30:00,4321.336741085675,0.0
 01/01  07:45:00,664.1185231426507,0.0
 01/01  08:00:00,941.4809410517584,0.0
 01/01  08:15:00,1066.0756159558923,0.0
 01/01  08:30:00,1333.5739825659937,0.0
 01/01  08:45:00,1296.2991598366575,0.0
 01/01  09:00:00,1343.9316291527634,8.665671866274838
 01/01  09:15:00,1240.2627500563417,12.995929806041696
 01/01  09:30:00,1308.6478255169952,17.419755307289574
 01/01  09:45:00,1301.0880717968791,24.0866519686618
 01/01  10:00:00,1276.3178058724848,30.407754872550743
 01/01  10:15:00,1290.0255098201958,36.66685531404038
 01/01  10:30:00,1282.8846889039426,42.89275178239433
 01/01  10:45:00,1278.34890729727,49.76610710510889
 01/01  11:00:00,1264.3230112103938,56.55449543905331
 01/01  11:15:00,1257.190803220724,63.268242604078345
 01/01  11:30:00,1253.9431139866526,69.87378774973864
 01/01  11:45:00,1261.4273181432154,68.7413653362669
 01/01  12:00:00,1259.489016737096,67.85482317243299
 01/01  12:15:00,1354.148712073886,67.11846722629382
 01/01  12:30:00,1352.9539581164852,66.48085125132756
 01/01  12:45:00,1394.7260732750756,67.52035477212942
 01/01  13:00:00,1450.6884702320003,68.4921911346305
 01/01  13:15:00,1423.5467621457062,69.36747748235192
 01/01  13:30:00,1420.3068922194475,70.10910871430046
 01/01  13:45:00,1427.4269101084128,60.18268137985379
 01/01  14:00:00,1444.143797054672,50.504027464962455
 01/01  14:15:00,1456.9079069461372,40.802503034145076
 01/01  14:30:00,1468.5179320397765,30.78283506022092
 01/01  14:45:00,1475.614971214576,32.05418836050404
 01/01  15:00:00,1486.9413384507227,33.32077188184558
 01/01  15:15:00,1492.9276060786972,34.44077538244462
 01/01  15:30:00,1493.8750129148002,35.11495260711487
 01/01  15:45:00,1498.2254140285943,28.037205838911877
 01/01  16:00:00,1514.4656615553797,20.845516365441497
 01/01  16:15:00,1812.478511902142,13.330964219942741
 01/01  16:30:00,1786.1539147466185,5.821885840899397
 01/01  16:45:00,5208.24285463906,0.0
 01/01  17:00:00,4760.0570557241645,0.0
 01/01  17:15:00,4657.347709317731,0.0
 01/01  17:30:00,4674.614515180365,0.0
 01/01  17:45:00,4701.067446304855,0.0
 01/01  18:00:00,4828.238881412371,0.0
 01/01  18:15:00,8192.724529413643,0.0
 01/01  18:30:00,8094.081416957217,0.0
 01/01  18:45:00,5152.246135476554,0.0
 01/01  19:00:00,4639.408103172273,0.0
 01/01  19:15:00,6290.444990677062,0.0
 01/01  19:30:00,6436.976774608476,0.0
 01/01  19:45:00,4491.781668323821,0.0
 01/01  20:00:00,4436.42577972545,0.0
 01/01  20:15:00,4581.201586380689,0.0
 01/01  20:30:00,4560.757264302232,0.0
 01/01  20:45:00,8165.095319795635,0.0
 01/01  21:00:00,8064.857162208751,0.0
 01/01  21:15:00,5106.135106974418,0.0
 01/01  21:30:00,4576.83794660077,0.0
 01/01  21:45:00,4575.8980513881925,0.0
 01/01  22:00:00,4608.772559409665,0.0
 01/01  22:15:00,4615.054625740599,0.0
 01/01  22:30:00,1968.5209815357653,0.0
 01/01  22:45:00,1123.7711874559202,0.0
 01/01  23:00:00,1199.1694383603524,0.0
 01/01  23:15:00,1035.448168221228,0.0
 01/01  23:30:00,1074.4718337634738,0.0
 01/01  23:45:00,1206.1555701390052,0.0
 01/01  24:00:00,1087.2207235538394,0.0
 01/02  00:15:00,1908.307070344366,0.0
 01/02  00:30:00,1086.1628431556417,0.0
 01/02  00:45:00,1119.0085038328414,0.0
 01/02  01:00:00,1146.574287314403,0.0
 01/02  01:15:00,1173.2041019592295,0.0
 01/02  01:30:00,1221.0700632777173,0.0
 01/02  01:45:00,1213.1474311759591,0.0
 01/02  02:00:00,1181.6330390986484,0.0
 01/02  02:15:00,1194.4395124523323,0.0
 01/02  02:30:00,1246.8290443974377,0.0
 01/02  02:45:00,1254.4209411499307,0.0
 01/02  03:00:00,1226.6410296096517,0.0
 01/02  03:15:00,1226.9727927185784,0.0
 01/02  03:30:00,1260.359005851234,0.0
 01/02  03:45:00,1286.3986262391504,0.0
 01/02  04:00:00,1283.1812742898062,0.0
 01/02  04:15:00,1266.0181659581435,0.0
 01/02  04:30:00,1300.529484954297,0.0
 01/02  04:45:00,1309.998690714644,0.0
 01/02  05:00:00,1321.4414275995216,0.0
 01/02  05:15:00,1328.190592423342,0.0
 01/02  05:30:00,1337.5656953433042,0.0
 01/02  05:45:00,1357.106705579314,0.0
 01/02  06:00:00,2715.302345411623,0.0
 01/02  06:15:00,4829.826772541883,0.0
 01/02  06:30:00,6341.089203251198,0.0
 01/02  06:45:00,6008.2487215161655,0.0
 01/02  07:00:00,6094.280601228939,0.0
 01/02  07:15:00,4378.505131875339,0.0
 01/02  07:30:00,4296.39625256437,0.0
 01/02  07:45:00,624.1575856606046,0.0
 01/02  08:00:00,897.8230842055682,0.0
 01/02  08:15:00,1005.481728844734,0.0
 01/02  08:30:00,1280.0045033269855,0.0
 01/02  08:45:00,1245.4616628570082,0.0
 01/02  09:00:00,1321.6877926278048,4.3317776560482635
 01/02  09:15:00,1190.89652049506,6.499690548373973
 01/02  09:30:00,1286.4784680636114,8.387371809865078
 01/02  09:45:00,1271.676433514214,11.742207323098452
 01/02  10:00:00,1247.945921027473,15.094767335158899
 01/02  10:15:00,1282.186487992769,18.44864476731057
 01/02  10:30:00,1286.4311917702455,21.802011538484663
 01/02  10:45:00,1297.4424342823295,24.734377810580234
 01/02  11:00:00,1297.7022689763849,27.6668814070323
 01/02  11:15:00,1297.17408640174,30.595745631872617
 01/02  11:30:00,1303.1625442408356,33.52361550747326
 01/02  11:45:00,1316.75971526266,34.35053768684983
 01/02  12:00:00,1318.969514262291,35.18083622905985
 01/02  12:15:00,1397.7765458041697,36.000880915493035
 01/02  12:30:00,1397.2484834342297,36.820274343845945
 01/02  12:45:00,1458.2818554625846,35.12459086211231
 01/02  13:00:00,1501.4495773366193,33.43488876608242
 01/02  13:15:00,1488.5285697759764,31.757817143039333
 01/02  13:30:00,1493.2600134999357,30.081263659962964
 01/02  13:45:00,1501.6952192235713,29.03293916387099
 01/02  14:00:00,1515.9930739676386,27.98419804132088
 01/02  14:15:00,1524.5574126770207,26.94091430430336
 01/02  14:30:00,1530.0461044966216,25.897510093869855
 01/02  14:45:00,1538.9769179240675,23.179667328069087
 01/02  15:00:00,1558.946832984729,20.463514054052645
 01/02  15:15:00,1569.9504733455576,17.749608476289044
 01/02  15:30:00,1576.353333314788,15.035057526728153
 01/02  15:45:00,1580.2577338728734,12.11087179914975
 01/02  16:00:00,1589.889033820814,9.186733946258986
 01/02  16:15:00,1878.8904534182752,6.26151669376181
 01/02  16:30:00,1849.5924918129529,3.3372850296469654
 01/02  16:45:00,5220.591326250155,0.0
 01/02  17:00:00,4791.229866448441,0.0
 01/02  17:15:00,4689.068449247723,0.0
 01/02  17:30:00,4707.316795204908,0.0
 01/02  17:45:00,4734.863719617028,0.0
 01/02  18:00:00,4862.97449821784,0.0
 01/02  18:15:00,8193.265547058198,0.0
 01/02  18:30:00,8121.760705403033,0.0
 01/02  18:45:00,5196.601069635775,0.0
 01/02  19:00:00,4670.937431472606,0.0
 01/02  19:15:00,6348.690389832926,0.0
 01/02  19:30:00,6462.38550906706,0.0
 01/02  19:45:00,4526.767815276269,0.0
 01/02  20:00:00,4471.537641174589,0.0
 01/02  20:15:00,4617.393212270633,0.0
 01/02  20:30:00,4597.293320534255,0.0
 01/02  20:45:00,8165.694247022909,0.0
 01/02  21:00:00,8097.477188112678,0.0
 01/02  21:15:00,5153.546657702542,0.0
 01/02  21:30:00,4605.630113014515,0.0
 01/02  21:45:00,4605.6494492327565,0.0
 01/02  22:00:00,4630.59952311989,0.0
 01/02  22:15:00,4635.608141624658,0.0
